Title,Description,Price,PCode
"Celular Sony Xperia 5, 6.1 "", 6GB RAM, 128GB, i hirtë"," Përshkrimi i produktit  Përjetoni të zezë më të thellë, kontrast më të madh, mprehtësinë dhe qartësinë e imazheve me ngjyra të ndritshme duke përdorur teknologjitë më të përparuara të ekranit Sony. Për të shijuar një përvojë shikimi si filmi, ekrani CinemaWide ka një raport aspekt 21: 9. Ky raport është gjithashtu i shkëlqyeshëm për hapjen e dy aplikacioneve anash njëri-tjetrit. Kapni foto të jashtëzakonshme me një kamerë të pasme me tre lente. Shfrytëzoni sa më shumë lenten 16 mm për peizazhe me kënd të gjerë, lentet 26 mm të gjithanshëm dhe 52 mm për zmadhim të dyfishtë. Fotografitë tuaja do të kenë cilësi profesionale në çdo situatë dhe në çdo dritë. Korniza metalike formon një simbiozë estetike me xham 3D të rrumbullakosur që mbulon pjesën e përparme dhe të pasme. Xhami përzihet pa probleme në trupin e celularit, duke krijuar një pamje luksoze dhe elegante me shkëlqim të mrekullueshëm nga çdo kënd. Poashtu, një përvojë të mahnitshme të tingullit mund ta shijoni rreth jush me teknologjinë Dolby Atmos. Ai plotëson në mënyrë të përkryer përvojën e filmit CinemaWide 21: 9. Sony Xperia 5 është mundësuar nga një procesor i fuqishëm 8-core Qualcomm Snapdragon 855, i cili plotësohet me 6 GB memorie operative. Të dhënat dhe aplikacionet ruhen në memorie UFS të brendshme me kapacitet 128 GB, e cila mund të zgjerohet duke përdorur një slot micro SD. Ekrani me prekje OLED ka një madhësi prej 6.1 "" Full HD + me rezolucion prej 2520 x 1080 piksel, xham mbrojtës Corning Gorilla Glass 6 dhe teknologji HDR dhe CineAlta. Kamera në pjesën e pasme ofron senzorë 12 + 12 + 12 Mpx me lentet 26, 16 dhe 52 mm. Kamera e përparme është e pajisur me një senzor 8 MPx dhe një lente me kënd të gjerë. Celulari mbështet rrjetet 2G, 3G dhe LTE Cat19 / Cat13. Ekziston edhe një lidhës USB Tip-C, marrës GPS / Glonass, senzor i gjurmëve të gishtërinjëve, teknologji NFC, Bluetooth 5.0 dhe WiFi ac. Ndër teknologjitë e tingullit ai mbështet, për shembull Hi-Res Audio, Dolby Atmos, LDAC dhe HD Qualcomm aptX. Celulari plotëson vlerësimin e mbrojtjes IP65 / 68. Bateria është 3140 mAh dhe mbështet karikimin e shpejtë. Platforma Android është sistemi operativ.   ",722.4,269482
"Celular Apple iPhone 11 Pro, 5.8"", 256GB, i argjendtë"," Përshkrimi i produktit  Performancë e madhe, jashtëzakonisht elegant dhe akoma i thjeshtë. Mahnituni me imazhet nga kamera e re e trefishtë dhe kënaquni me jetën e zgjatur të baterisë. Kamera e re e trefishtë rrit krijimtarinë tuaj në nivelin e profesionistëve, nëse jeni duke fotografuar ose duke xhiruar video. Një set i tre lenteve për të shtëna të zakonshme, ultra-wide dhe zoomed, është ideal për çdo situatë. Portrete, peizazhe, arkitekturë, sport, natyrë, detaje, thjesht gjithçka që mund të mendoni. Kamerat mund të punojnë së bashku, dhe me inteligjencën artificiale të procesorit A13 Bionic, ato gjithmonë krijojnë pamjen më të mirë.Shijoni edhe më shumë argëtim me kamerën e përmirësuar selfie TrueDepth. Provoni selfie Full HD slow-motion në 120 fps dhe argëtohuni. Sensori i lenteve 12MP f / 2.2 kap selfie më të mira nga iPhone dhe ofron portrete të ngjashme me ato të kamerës kryesore. Dhe veçoritë e tjera argëtuese si Animoji dhe Memoji gjithashtu do të ofrojnë argëtim të shkëlqyeshëm.iPhone 11 Pro i ri kap video 4K me gamë dinamike të zgjeruar në 60 korniza për sekondë falë fuqisë së jashtëzakonshme informatike. Stabilizimi optik i imazhit, zmadhimi optik dhe dixhital dhe zmadhimi audio janë tiparet që ju nevojiten për një film perfekt.Më i ndritshëm dhe më i mprehtë, ky është ekrani i ri Super Retina XDR me teknologjinë OLED. Shkëlqimi edhe kontrasti më i lartë e bën atë më të mirën që keni parë. Pavarësisht nëse e shihni në dritë të ditës ose në mbrëmje, gjithmonë përshtatet për përvojën më të mirë të shikimit. Ai krenohet me një rezolucion prej 2436 × 1125 dots me një densitet prej 458 dots për inç (ppi) në diagonalen e tij 5.8 "".Poashtu, ai ka jetëgjatësi të zgjatur të baterisë (deri në 4 orë më shumë se iPhone X S) dhe karikim të shpejtë deri në 50% për afro 30 minuta (18W ose më shumë).Apple iPhone 11 Pro mundësohet nga një çip i fuqishëm 6-core A13 Bionic me gjeneratën e fundit Neural Engine dhe performancën më të lartë të mësimit të makinerive. 256 GB memorie e brendshme është në dispozicion për sistemin, të dhënat dhe aplikacionet. iPhone Pro 11 ka kamerë të trefishtë 12MP me lente ultra-wide, wide-angle dhe një lente telephoto me një hapje maksimale prej ƒ / 1.8 wide, ƒ / 2.4 ultrawide dhe ƒ / 2.0 calf dhe stabilizim i dyfishtë i imazhit optik, me një kamerë të përparme 12MP TrueDepth me kapje 3D dhe Face ID për selfie. Është rezistent ndaj ujit dhe pluhurit sipas IP68. Teknologjitë wireless Bluetooth 5.0, NFC, Wi-Fi ax ose LTE sigurojnë lidhje të shpejtë. Ekziston gjithashtu një marrës GPS / Glonass dhe ndërfaqe Lightning. Ju mund të përdorni kabllon Qi ose teknologjinë wireless për të karikuar. Karakteristikat e tij të sensorit përfshijnë: Face ID, barometër, xhiroskop me tre boshte, akselerometër, sensori i afërsisë, sensori i dritës së ambientit, busulla dixhitale. Celulari ka të instaluar sistemin e ri operativ iOS 13.   ",1309.01,269754
"Celular Xiaomi Black Shark, 5.99"", 6GB RAM, 64GB, i zi"," Përshkrimi i produktit   Dizajni është unik Kombinimi i mbulesës metalike dhe dritës së neonit së gjelbërt duket vërtet elegant. Antena speciale e llojit X sigurojnë pritjen e mirë të sinjalit, kështu që ju mund t'i përgjigjeni thirrjeve dhe mesazheve në çdo kohë. Një ekran 5.99 inç me një raport 18: 9 siguron një përvojë shumë më të mirë të lojrave sesa ekranet 16: 9. Me kamerën ju ngjallni mrekulli Kamera kryesore e dyfishtë me blic LED dhe lente me gjashtë shtresa ju lejon të krijoni përmbajtje vërtet interesante dhe cilësore. Ekziston një mënyrë e veçantë për fotografimin e njerëzve dhe objekteve, por përdorimi i kamerës së përparme për selfie. Ai gjithashtu ka karakteristika të cilësisë së lartë dhe një rezolucion të lartë prej 20 Mpx. Ftohja Mbinxehja e pajisjes është një problem i njohur për lojtarët, pavarësisht nëse ata janë duke luajtur në celularin, kompjuterin ose tabletin e tyre. Jo me këtë telefon. Black Shark është i pajisur me një sistem të lëngshëm ftohës. Si rezultat, procesori është në gjendje t'i rezistojë funksionimit të frekuencës së lartë për periudha të gjata kohe pa mbinxehje. Veçoritë kryesore Celulari absolutisht unik i lojrave Black Shark ka një trup të bukur dhe performancë të lartë. Ka një ekran 5.99 inç me rezolucion 1080 x 2160 dhe një raport 18: 9. Ai përmban një procesor 8 bërthamësh Snapdragon 845 deri në 2.8 GHz, sistemin grafik AdrenoTM 630, 6 GB RAM, 64 GB memorie, altoparlantë stereo dhe ftohjen e ujit. Është një SIM i dyfishtë, mbështet LTE, WiFi, ka një kamerë 12 Mpx + 20 Mpx, USB-C, një lexues të gjurmëve të gishtërinjve dhe një bateri 4000 mAh. Dimensionet e tij janë 161.62 x 75.4 x 9.25 mm, peshon 190 g dhe ka Android 8.0 Oreo.    ",420.96,241255
"Celular Xiaomi Redmi Note 10 Lite, 6GB/128GB, i zi"," Përshkrimi i produktit  Samsung Xiaomi vjen me dizajn tejet modern, rezistencë dhe performancë të jashtzakonshme. Ka ekran me prekje 6.47”, që shfaq imazhe me rezolucion 2340 x 1080 (FHD+) pixel. Si pjesë përbërëse, ky celular ka pjesë harduerike të kualitetit të lartë të cilat mundësojnë operim dhe performancë të shpejtë e pandërprerje. Të gjitha proceset bazohen në procesorin tetë bërthamësh Snapdragon 730G që operon në frekuencë 2 GHz, i kombinuar me memorie operuese 6GB dhe memoria e brendshme për ruajtjen e të dhënave të çfarëdoshme me kapacitet 128GB. Poashtu, Xiaomi Redmi Note 10 Lite, ka edhe pesë kamera me të cilat shkrep e incizon imazhe me kualitet superior, një të pasme 64 + 8 + 5 + 2MP dhe një të përparme 16MP.  Xiaomi Redmi Note 10 Lite vjen me sistem operativ të instaluar Android, si dhe mundësi për lidhje me teknologjitë si Wi-Fi, Bluetooth, NFC, e GPS. Gjithashtu, mundësohet nga një bateri me kapacitet 5260 mAh. Vjen me ngjyrë të zezë.   ",415.2,288060
"Celular Xiaomi Redmi Note 9 Pro, 6.67"" FHD+, 6GB RAM, 64GB, i bardhë"," Përshkrimi i produktit  Celulari Xiaomi Redmi Note 9 Pro është i pajisur me një procesor të fuqishëm 8-bërthamësh Qualcomm Snapdragon 720G, që punon me një frekuencë deri në 2.3 GHz. Procesori posedon 6 GB memorie RAM, dhe memorie të brendshme me kapacitet 64 GB në dispozicion për sistemin dhe të dhënat, që mund të zgjerohet me anë të një karte memorie. Ekrani me prekje 6.67 "" IPS ka rezolucion Full HD + prej 2400 x 1080 px. Imazhet mund t'i kapni me kamerën e katërfishtë të pasme: 64 Mpx (f / 1.89), 8 Mpx (119 ° ultra-të gjerë, f / 2.2), 5 Mpx (lente makro, f / 2.4) dhe 2 Mpx (bokeh, f / 2.4). Kamera e përparme selfie ka një rezolucion prej 16 Mpx dhe një lente me një hapje prej f / 2.48. Celulari është i pajisur me Bluetooth 5.0, NFC, WiFi ac dhe GPS / Glonass / Galileo / Beidou. Ai mbështet lidhjen me rrjetet 2G, 3G dhe LTE. Pajisjet e senzorët përfshijnë: motorin e vibrimit linear me boshtin Z, senzorin e afërsisë, senzorin e dritës së ambientit, përshpejtuesin xhiroskopin, busullën digjitale, transmetuesin me rreze infra të kuqe dhe lexuesin e gjurmëve të gishtërinjve anash. Prej lidhësve ka: USB të llojit-C dhe lidhës audio 3.5 mm. Funksionimi i celularit mundësohet nga një bateri me kapacitet prej 5020 mAh dhe mbështetje për karikimin e shpejtë 30 W. Sistemi operativ Android me ndërfaqen e përdoruesit MIUI është i instaluar paraprakisht.   ",324.96,286828
"Celular Apple iPhone 12 Pro Max, 6.7"" FHD+, 6GB RAM, 128GB, i artë"," Përshkrimi i produktit  iPhone 12 vjen edhe më mirë se kurrë. Ju mund të zgjidhni nga katër modele. Nëse dëshironi një zgjidhje të vogël, merrni 12 mini, klasikja do të jetë 12 dhe për ata që kërkojnë më shumë ka 12 Pro dhe Pro Max. Ju gjithmonë merrni atë që ju përshtatet më shumë.Apple iPhone 12 Pro Max është mundësuar nga një çip i fuqishëm A14 Bionic me motorin Neural Engine të gjeneratës së fundit dhe performancë më të lartë të të mësuarit të makinës. Memoria e brendshme me kapacitet prej 128 GB është e gatshme për sistemin, të dhënat dhe aplikacionet. Ekrani 6.7 "" Super Retina XDR me teknologji OLED dhe TrueTone ka një rezolucion prej 2778 × 1284 px me një përsosuri prej 460 ppi. iPhone 12 Pro Max ka një kamerë të trefishtë të pasme 12 MP me lentë ultra të gjerë, me kënd të gjerë dhe telefoto me hapje prej ƒ / 1.6 (të gjerë), ƒ / 2.4 (ultra të gjerë) dhe ƒ / 2.0 (telefoto) dhe stabilizim optik të imazhit (për kënd të gjerë dhe telefoto). Poashtu ka një kamerë të përparme TrueDepth 12 MP me funksion të njohjes së fytyrës Face ID. Celulari është rezistent ndaj ujit dhe pluhurit sipas specifikimit të mbrojtjes IP68. Teknologjitë wireless Bluetooth 5.0, NFC, Wi-Fi ax ose LTE dhe 5G sigurojnë lidhje të shpejtë. Ekziston edhe një marrës GPS / GLONASS / Galileo / QZSS / BeiDou dhe ndërfaqja Lightning. Mund të përdorni kabllon MagSafe ose teknologjinë wireless Qi për karikim. Senzorët përfshijnë: skanues LiDAR, Face ID, barometër, xhiroskop me tre akse, akselerometër, senzor të afërsisë, senzor të dritës së ambientit dhe busullë digjitale. Celulari juaj ka të instaluar sistemin e ri operativ iOS 14.   ",1458.5,301149
"Celular Apple iPhone 11, 6.1 "", 256GB, i gjelbërt"," Përshkrimi i produktit  IPhone 11 i ri bazohet në modelet e shkëlqyera të gjeneratës së mëparshme iPhone X dhe sjell një numër risish që mund të gjenden edhe në modelet e fundit 11 Pro. Mbi të gjitha, është performanca e pakompromistë e çipit A13 Bionic, karakteristika të shkëlqyera kamerash për fotografi, video dhe selfie, jetëgjatësi të zgjatur të baterisë, dhe më shumë.IPhone 11 vjen me një kamerë të dyfishtë të përmirësuar, në të cilin lentja XS telephoto është zëvendësuar nga një lente ultra-wide-angle. Me një këndvështrim të gjerë, ju mund të kapni gjithçka në fotografinë tuaj. Kamerat mund të punojnë së bashku, dhe me inteligjencën artificiale të procesorit A13 Bionic, ato gjithmonë krijojnë pamjen më të mirë.Shijoni edhe më shumë argëtim me kamerën e përmirësuar selfie TrueDepth. Provoni selfie Full HD slow-motion në 120 fps dhe argëtohuni. Sensori i lenteve 12MP f / 2.2 kap selfie më të mirë nga iPhone dhe ofron portrete të ngjashme me ato të kamerës kryesore. Poashtu, veçori të tjera argëtuese si Animoji dhe Memoji gjithashtu do të ofrojnë argëtim të shkëlqyeshëm.IPhone 11 i ri kap video me një gamë dinamike të zgjeruar në 60 korniza për sekondë falë fuqisë së jashtëzakonshme informatike. Stabilizimi optik i imazhit, zmadhimi optik dhe dixhital dhe zmadhimi audio janë tiparet që ju nevojiten për një film perfekt.Zbuloni cilësinë e teknologjisë së ekranit Liquid Retina HD IPS. Në një diagonale prej 6.1 "", ai krenohet me një rezolucion prej 1792 × 828 dots me një densitet prej 326 dots për inç (ppi). Poashtu, ai ka jetëgjatësi të zgjatur të baterisë (deri në 1 orë më shumë se iPhone Xr) dhe karikim të shpejtë deri në 50% për afro 30 minuta (përshtatës 18W ose më i fortë, i shitur veçmas).Apple iPhone 11 mundësohet nga një çip i fuqishëm 6-core A13 Bionic me gjeneratën e fundit Neural Engine dhe performancën më të lartë të mësimit të makinerive. 256 GB memorie e brendshme është në dispozicion për sistemin, të dhënat dhe aplikacionet. IPhone 11 ka kamerë të dyfishtë 12MP me lente ultra-wide, wide-angle me një hapje maksimale prej ƒ / 1.8 wide, ƒ / 2.4 ultrawide dhe stabilizim i imazhit optik. Për selfie është një kamerë 12MP TrueDepth me imazh 3D dhe hyrje Face ID. Është rezistent ndaj ujit dhe pluhurit sipas IP68. Teknologjitë wireless Bluetooth 5.0, NFC, Wi-Fi ax ose LTE sigurojnë lidhje të shpejtë. Ekziston gjithashtu një marrës GPS / Glonass dhe ndërfaqe Lightning. Ju mund të përdorni kabllon Qi ose teknologjinë wireless për të karikuar. Karakteristikat e tij të sensorit përfshijnë: Face ID, barometër, xhiroskop me tre boshte, akselerometër, sensori i afërsisë, sensori i dritës së ambientit, busulla dixhitale. Celulari ka të instaluar sistemin e ri operativ iOS 13.   ",998.61,269748
"Celular Samsung Galaxy A41, 64GB, i bardhë"," Përshkrimi i produktit  Ky celular vjen me ekran me prekje 6.1”, që shfaq imazhe me rezolucion 2400 x 1080 pixel.Si pjesë përbërëse, ky celular ka pjesë harduerike të kualitetit të lartë të cilat mundësojnë operim dhe performancë të shpejtë e pandërprerje. Të gjitha proceset bazohen në procesorin tetë bërthamësh Mediatek Helio P65 që operon në frekuencë 2 GHz, i kombinuar me memorie operuese 4GB dhe memoria e brendshme për ruajtjen e të dhënave të çfarëdoshme me kapacitet 64GB (por që mund të zgjerohet përmes kartës së memories microSD deri në 200GB). Poashtu, Samsung Galaxy A41, ka edhe katër kamera me të cilat shkrep e incizon imazhe me kualitet superior, tri të pasme 48 + 8 + 5 MP dhe një të përparme 25 MP, që fokusohet me super shpejtësi. Galaxy A41 vjen me sistem operativ të instaluar Android, si dhe mundësi për lidhje me teknologjitë si Wi-Fi, Bluetooth, NFC, 4G LTE e GPS. Gjithashtu, Galaxy A41 mundësohet nga një bateri me kapacitet 3500 mAh.   ",219.5,815403smg
"Celular Apple iPhone 12 Pro, 6.1"" FHD+, 6GB RAM, 512GB, ngjyrë grafiti"," Përshkrimi i produktit  iPhone 12 vjen edhe më mirë se kurrë. Ju mund të zgjidhni nga katër modele. Nëse dëshironi një zgjidhje të vogël, merrni 12 mini, klasikja do të jetë 12 dhe për ata që kërkojnë më shumë ka 12 Pro dhe Pro Max. Ju gjithmonë merrni atë që ju përshtatet më shumë. Apple iPhone 12 Pro është mundësuar nga një çip i fuqishëm A14 Bionic me motorin Neural Engine të gjeneratës së fundit dhe performancë më të lartë të të mësuarit të makinës. Memoria e brendshme me kapacitet prej 512 GB është e gatshme për sistemin, të dhënat dhe aplikacionet. Ekrani 6.1 "" Super Retina XDR me teknologji OLED dhe TrueTone ka një rezolucion prej 2532 × 1170 piksele me një përsosuri prej 460 ppi. iPhone 12 Pro ka një kamerë të trefishtë të pasme 12 MP me lentë ultra të gjerë, me kënd të gjerë dhe telefoto me hapje prej ƒ / 1.6 (të gjerë), ƒ / 2.4 (ultra të gjerë) dhe ƒ / 2.0 (telefoto) dhe stabilizim optik të imazhit (për kënd të gjerë dhe telefoto). Poashtu ka një kamerë të përparme TrueDepth 12 MP me funksion të njohjes së fytyrës Face ID. Celulari është rezistent ndaj ujit dhe pluhurit sipas specifikimit të mbrojtjes IP68. Teknologjitë wireless Bluetooth 5.0, NFC, Wi-Fi ax ose LTE dhe 5G sigurojnë lidhje të shpejtë. Ekziston edhe një marrës GPS / GLONASS / Galileo / QZSS / BeiDou dhe ndërfaqja Lightning. Mund të përdorni kabllon MagSafe ose teknologjinë wireless Qi për karikim. Senzorët përfshijnë: skanues LiDAR, Face ID, barometër, xhiroskop me tre akse, akselerometër, senzor të afërsisë, senzor të dritës së ambientit dhe busullë digjitale. Celulari juaj ka të instaluar sistemin e ri operativ iOS 14.    ",1662.5,301143
"Celular Xiaomi Redmi 9T, 6.53"" FHD+, 4GB RAM, 64GB, i hirtë"," Përshkrimi i produktit  Celulari Xiaomi Redmi 9T është i pajisur me një procesor të fuqishëm 8-bërthamor Qualcomm Snapdragon 662 me një frekuencë deri në 2 GHz. Procesori plotësohet me 4 GB memorie RAM dhe 64 GB memorie të brendshme e cila është në dispozicion për sistemin dhe të dhënat, si dhe mund të zgjerohet me një kartë memorie. Ekrani IPS me diagonale 6.53 "" ka një rezolucion Full HD + prej 2340 x 1080 px. Mund të kapni imazhe me kamerën e pasme të katërfishtë me senzorë 48 Mpx (f / 1.79), 8 Mpx (120° ultra-i gjerë, f / 2.2), 2 Mpx (lente makro, f / 2.4) dhe 2 Mpx (bokeh, f / 2.4). Kamera e përparme selfie ka një rezolucion prej 8 Mpx dhe një lente me aperaturë f / 2.05. Teknologjitë si NFC, Bluetooth 5.0, WiFi ac dhe GPS / Glonass / Galileo janë të disponueshme. Celulari mbështet lidhjen me rrjetet mobile 2G, 3G dhe LTE. Lidhësit përfshijnë USB-C dhe jack 3.5 mm. Funksionimi i laptopi mundësohet nga një bateri me kapacitet prej 6000 mAh dhe mbështetje për karikim të shpejtë 18 W. Sistemi operativ Android me ndërfaqen e përdoruesit MIUI është i instaluar paraprakisht.   ",207.5,307562
