Title,Description,Price,PCode
"Tablet Samsung Galaxy Tab S7 (2020), 11"", 6GB RAM, 128GB, WiFi, i argjendtë"," Përshkrimi i produktit  Ky tablet ofron performancë të lartë, një shfaqje të qetë me një ritëm të rifreskimit deri në 120 Hz, një stilolaps S Pen të përmirësuar, rehati në punë të krahasueshme me një kompjuter personal, dhe e fundit, por jo më pak e rëndësishme, një dizajn elegant dhe praktik.Galaxy Tab S7 kontrollon me mençuri normën e rifreskimit të ekranit bazuar në atë që jeni duke bërë për të ruajtur energjinë e baterisë. Me një vlerë maksimale prej 120 Hz, ekrani është çuditërisht i qetë dhe përgjigja është jashtëzakonisht e ulët, kështu që tableti i përgjigjet të gjitha stimujve në një ndezje.Shijoni përmbajtjen në një ekran të mrekullueshëm 11 "" të ndërtuar në teknologjinë LTPS LCD. Ai ofron gamën e ngjyrave DCI-P3 dhe ka marrë certifikimin Low Blue Light, që konfirmon që ekrani kursen shikimin tuaj duke zvogëluar sasinë e dritës blu të emetuar. Galaxy Tab S7 ka katër altoparlantë të akorduar AKG dhe mbështetje Dolby Atmos, që plotësojnë imazhin premium me tinguj po aq luksoz.Në krahasim me Galaxy Tab S6, Qualcomm Snapdragon 865 Plus revolucionar ofron deri në 36% performancë më të lartë të grafikës, 25% performancë më të lartë thelbësore dhe 77% performancë më të lartë të procesorit nervor. Falë performancës së tij të jashtëzakonshme, ky procesor i mençur dhe revolucionar mund të trajtojë me lehtësi kryerjen e detyrave të shumta ose lojërat moderne, në çdo kohë, në çdo vend.Shijoni çdo lojë të përsosur në ekranin e madh me një shfaqje cilësore. Përveç kësaj, do të tërhiqeni në veprim nga një tingull shumë i akorduar. Ju nuk kufizoheni vetëm në lojëra nga Galaxy Store ose Google Play Store. Një abonim i Xbox Game Pass Ultimate ju lejon të transmetoni më shumë se 100 lojëra konzole nga cloud në ekranin e tabletit tuaj.S Pen ka bërë një rrugë të gjatë që nga versioni i fundit. Përgjigja e tij është befasuese e shpejtë, falë vonesës minimale. Si rezultat, ju ndjeheni sikur po shkruani me një stilolaps të vërtetë në letër. Pas përdorimit, thjesht bashkëngjitni atë në pjesën e prapme të Tab S7 tuaj me një magnet.Kamera e përparuar e pasme e Galaxy Tab S7 përbëhet nga dy lente: lentja kryesore, me kënd të gjerë, e cila ka një rezolucion prej 13 Mpx dhe një hapje prej f / 2.0, plotësohet nga një lente me kënd të ultra të gjerë (5 Mpx, f / 2.2 ). Ajo arrin të ruajë një prerje edhe më të madhe të rrethinës tuaj në një goditje të vetme. Dashamirët e videove gjithashtu do të kënaqen - mund të xhironi deri në rezolucionin më të lartë 4K, në 30 KPS.Tableti Samsung Galaxy Tab S7 T875N do të ofrojë një procesor 8-bërthamor Qualcomm Snapdragon 865+. Tableti gjithashtu ka 6 GB memorie RAM të disponueshme për punën e tij. Ekrani me prekje me cilësi të lartë 11 "" 120 Hz LTPS ofron një rezolucion prej 2560 x 1600 px. Për aplikacionet dhe të dhënat, keni një memorie të brendshme me kapacitet prej 128 GB dhe mundësinë e zgjerimit me një kartë memorie microSD (deri në 1 TB). Është e mundur të përdorni një tablet për navigim. Ekziston gjithashtu një lidhje wireless WiFi dhe Bluetooth 5 BLE. Sigurisht, ekziston edhe USB të llojit C. Ekziston gjithashtu një lexues i gjurmëve të gishtërinjve, mbështetja për Samsung DeX dhe një stilolaps Samsung S Pen. Tableti mundësohet nga një bateri me një kapacitet të lartë prej 8000 mAh dhe mbështetje për karikimin e shpejtë. Sistemi operativ Android me ndërfaqen e përdoruesit One UI është instaluar paraprakisht.   ",599.5,706116smg
"Tablet Samsung Galaxy Tab A 2019 (T295), 2GB/32GB, LTE - i zi"," Përshkrimi i produktit  Samsung Galaxy Tab A 8.0 LTE 2019 (T295N) me karakteristika miqësore për familjet është i dizajnuar me përvojën e fundit në komoditetin online dhe përvojën e leximit të përmbajtjes. Do t'ju ofrojë performancë të mirë, një sërë karakteristikash praktike për punën e përditshme, si dhe një modalitet ""child mode"" për të ndihmuar argëtimin e fëmijëve.Ky tablet ofron një procesor 4-bërthamor Qualcomm Snapdragon 429 i cili funksionon me një frekuencë 2 GHz. Tableti ka 2 GB memorie operative ndërsa për aplikacionet dhe të dhënat ka 32 GB memorie të brendshme e cila mund të zgjerohet përmes kartave microSD deri në 512 GB.Ekrani me prekje 8 "" ofron një rezolucion prej 1280 x 800 piksel. Në pjesën e përparme të tabletit është vendosur kamera 2 Mpx, e cila lejon të komunikoni përmes internetit me miqtë ose familjen në definicion të lartë. Ndërsa në pjesën e pasme tableti është i pajisur me një kamerë të fuqishme 8 Mpx, që ju lejon të bëni foto cilësore dhe video me definicion të lartë, plot detaje të shkëlqyera. Ekziston gjithashtu lidhja me LTE, WiFi dhe Bluetooth dhe marrësi GPS / Glonass. Prej lidhësve keni një jack 3.5 mm për kufje dhe microUSB për karikim. Fuqia sigurohet nga bateritë 5100 mAh. Sistemi operativ është Android.   ",169,740652smg
"Tablet Lenovo Yoga Smart Tab 10,1'' FHD, 3GB/32GB, LTE"," Përshkrimi i produktit  Ky tablet ndërthurr një varg tiparesh të përsosura teknologjike. Ka procesor Qualcomm Snapdragon 439 me 8 bërthama me frekuencë 4x 2 GHz dhe 4x 1.45 GHz. Memoria RAM ka kapacitet 3GB dhe memoria e brendshme 32GB me mundësi zgjerimi përmes slotit për microSD. Ekrani 10.1'' ofron rezolucion 1920 x 1200 pikselë. Mbështet teknologjinë WiFi ac, Bluetooth 4.2 dhe ka kamerë të përparme 5 MPx ndërsa kamera e pasme 8MPx. Përfshin poashtu senzor të dritës, gjiroskop, senzor për shok. Bateria ka kapacitet 7000 mAh dhe zjgat 11 orë me përdorim të internetit. Sistemi i tij operativ është Android 9 Pie.   ",237.02,277599
"Tablet Apple iPad Mini, 64GB, 2019, i argjendtë"," Përshkrimi i produktit  Ky Apple iPad Mini ka performancë të jashtëzakonshme. Ju mund ta ndjeni ndryshimin dhe saktësinë në shikim të parë nëse jeni duke lexuar në internet, duke luajtur lojëra 3D ose duke vizatuar. Me një diagonale 7.9 "", ky iPad ka rezolucion 2048 × 1536 piksel me një densitet prej 326 pikash për inç (ppi) dhe në sajë të panelit IPS ju do të përjetoni ngjyra të përkryera të vërteta me detaje realiste. Tableta është me të vërtetë shumë e hollë vetëm 6.1 mm, dhe peshon 300 gram. Mbështetje për lapsin Apple (gjenerata e parë) A keni nevojë për më shumë saktësi në kontrollin e Apple iPad Mini tuaj? Atëherë ky laps siguron opsione të reja të kontrollit dhe mbështet kreativitetin tuaj. Ai vepron sikur një laps i zakonshëm pavarësisht nëse ju jeni duke vizatuar ose thjesht duke shkruar shënime, çdo gjë është aq e thjeshtë sa të shkruash me një laps të zakonshëm (lapsi shitet veçmas). Dy kamera të mrekullueshme Tableta është e pajisur me një kamerë të pasme me një sensor të përmirësuar 8MP dhe një lente f / 2.4, e cila së bashku me një procesor të fuqishëm, ju lejon të përdorni veçori të avancuara siç janë fokusi i klikimit, panorama, video FullHD, video slow motion 120fps, time-lapse video ose self-timer. Pjesa e përparme është e pajisur me një kamerë FaceTime HD e cila ka sensor 7MP për performancë më të mirë të dritës së ulët. Fuqia e tabletës ofrohet nga A12 Bionic me arkitekturë 64-bit desktop, Neural Engine dhe bashkë-procesorin M12. Tableta ka 64 GB memorie të brendshme, është e pajisur me një sërë sensorësh, duke përfshirë Touch ID, xhiroskop me 3 akse, akcelerometër, busull dixhitale, sensor të dritës së ambientit dhe barometër. Poashtu, ekziston teknologjia Bluetooth 5.0 dhe qasja në internet ofrohet nëpërmjet rrjetit WiFi ac me MIMO. Tableta operon me sistemin operativ iOS 12.    ",415.2,257408
"Tablet Samsung Galaxy Tab S7 LTE, 11"", 6GB RAM, 128GB, i zi"," Përshkrimi i produktit  Ky tablet ofron performancë të lartë, një ekran të qetë me një ritëm të rifreskimit deri në 120 Hz, një S Pen të përmirësuar, rehati në punë e krahasueshme me një PC, dhe e fundit, por jo më pak e rëndësishme, një dizajn elegant dhe praktik.Galaxy Tab S7 kontrollon me mençuri normën e rifreskimit të ekranit bazuar në atë që jeni duke bërë për të ruajtur energjinë e baterisë. Me një vlerë maksimale prej 120 Hz, ekrani është çuditërisht i qetë dhe përgjigja është jashtëzakonisht e ulët, kështu që tableti i përgjigjet të gjitha stimujve në një ndezje.Shijoni përmbajtjen në një ekran të mrekullueshëm 11 "" të ndërtuar në teknologjinë LTPS LCD. Ai ofron gamën e ngjyrave DCI-P3 dhe ka marrë certifikimin Low Blue Light, e cila konfirmon që ekrani kursen shikimin tuaj duke zvogëluar sasinë e dritës blu të emetuar. Galaxy Tab S7 me katër altoparlantë të akorduar AKG dhe mbështetje Dolby Atmos, e cila plotëson foton premium me tinguj po aq luksoz.Në krahasim me Galaxy Tab S6, Qualcomm Snapdragon 865 Plus revolucionar ofron deri në 36% performancë më të lartë të grafikës, 25% performancë më të lartë thelbësore dhe 77% performancë më të lartë të procesorit nervor. Falë performancës së tij të jashtëzakonshme, ky procesor i zgjuar dhe revolucionar mund të trajtojë me lehtësi duke multitasking ose lojëra moderne, në çdo kohë, në çdo vend.Shijoni çdo lojë të përsosur në ekranin e madh me një ekran cilësor. Përveç kësaj, do të tërhiqeni në veprim nga një tingull shumë i akorduar. Ju nuk kufizoheni vetëm në lojëra nga Galaxy Store ose Google Play Store. Një abonim i Xbox Game Pass Ultimate ju lejon të transmetoni më shumë se 100 lojëra konzole nga cloud në ekranin e tabletit tuaj.S Pen ka bërë një rrugë të gjatë që nga versioni i fundit. Përgjigja e tij është befasuese e shpejtë, falë vonesës minimale. Si rezultat, ju ndjeheni sikur po shkruani me një stilolaps të vërtetë në letër. Pas përdorimit, thjesht bashkëngjitni atë në pjesën e prapme të Tab S7 tuaj me një magnet.Kamera e përparuar Galaxy Tab S7 përbëhet nga dy lente: Lentja kryesore, me kënd të gjerë, e cila ka një rezolucion prej 13 Mpx dhe një hapje prej f / 2.0, plotësohet nga një lente me kënd të ultra të gjerë (5Mpx, f / 2.2 ). Ajo arrin të ruajë një prerje edhe më të madhe të rrethinës tuaj në një goditje të vetme. Dashamirët e videove gjithashtu do të kënaqen - mund të xhironi deri në rezolucionin më të lartë 4K, në 30 FPS.Tableti Samsung Galaxy Tab S7 T875N do të ofrojë një procesor 8-core Qualcomm Snapdragon 865+. Tableti gjithashtu ka 6 GB RAM të disponueshme për punën e tij. Ekrani me prekje me cilësi të lartë 11 ""120Hz LTPS ofron një rezolucion prej 2560 x 1600 piksele. Për aplikacionet dhe të dhënat, keni një memorie të brendshme shumë të mirë 128 GB me mundësinë e zgjerimit me një kartë memorie microSD (deri në 1 TB). Është e mundur të përdorni një tablet për navigim. Ekziston gjithashtu një lidhje wireless LTE, WiFi dhe Bluetooth 5 BLE. Sigurisht, ekziston edhe USB Type-C moderne. Ekziston gjithashtu një lexues i gjurmëve të gishtërinjve, mbështetje Samsung DeX dhe një Samsung S Pen. Tableti mundësohet nga një bateri me një kapacitet të lartë 8000 mAh dhe mbështetje për karikimin e shpejtë. Sistemi operativ Android dhe ambienti inteligjent One UI.    ",799.5,646190smg
"Tablet Apple iPad (2020), 10.2"", 32GB, Wi-Fi, i artë"," Përshkrimi i produktit  Mbi të gjitha, iPad i ri nga Apple ju sjell performancë më të lartë duke ruajtur një çmim të volitshëm. Në zemër të tij është tani çipi i fuqishëm A12 Bionic dhe të gjitha tiparet e njohura të gjeneratës së fundit mbeten - ekrani Retina 10.2 "", mbështet Smart Keyboard (tastierën e mençur) dhe përdor një sistem të optimizuar iPadOS. iPad i ri është një pajisje e shkëlqyeshme e përdorshme me karakteristika të mahnitshme të sistemit operativ të ri iPadOS.Procesori A12 Bionic ka fuqi të mjaftueshme për gjithçka. Ai ofron performancë të shkëlqyeshme për kryerjen e detyrave të shumta në të njejtën kohë në mënyrë intuitive, aplikacione të realitetit të shtuar dhe lojëra mbresëlënëse. Neural Engine për inteligjencën artificiale sjell përvoja mbresëlënëse të realitetit të shtuar, funksione fantastike inteligjente të kamerës dhe shumë më tepër sesa prisni. A12 Bionic, ky është një nivel i ri i performancës, inteligjencës artificiale dhe të mësuarit në pajisje.Për sistemin, të dhënat dhe aplikacionet është i pajisur me memorien e brendshme me kapacitet prej 32 GB.iPad i ri mbetet një ekran i shkëlqyeshëm Retina, i cili ofron një diagonale prej 10.2 "" në panelin IPS dhe një rezolucion prej 2160 × 1620 px me një dendësi prej 264 pikash për inç (ppi). Ai sjell një imazh shumë të mprehtë me kënde të shkëlqyera shikimi për redaktimin e videove 4K, përgatitjen e prezantimit, menaxhimin e biznesit, lojërat dhe argëtimin multimedial.Tableti është i pajisur me një kamerë të pasme me një senzor të përmirësuar 8 MP dhe lente f / 2.4, që së bashku me një procesor të fuqishëm ju lejon të përdorni veçori të tilla si panorama, video Full HD, video me lëvizje të ngadaltë 120 kps, video me kalimin e kohës ose modalitet kohëmatësi. Pjesa e përparme është e pajisur me një kamerë FaceTime HD me një senzor 1.2 MP dhe lente f / 2.4, me të cilin bisedat tuaja video ose fotot selfie do të duken absolutisht të pabesueshme. Ju gjithashtu mund të përdorni kamerat e përparme dhe të pasme të iPad për të skanuar dokumente ose, për shembull, për të dizenjuar brendësinë në realitetin e shtuar.Me tabletin, ju merrni gjithçka që doni në iPad në një dizajn tepër elegant dhe të lëvizshëm. IPad peshon vetëm 490/495 gram (varianti WiFi / LTE) dhe është 7.5 mm i hollë, kështu që mund ta merrni kudo me vete dhe të bindeni me qëndrueshmërinë e tij. Gëzoni një sistem operativ intuitiv, aplikacione të shkëlqyera, performancë të shkëlqyeshme ose thirrje FaceTime kudo, në çdo kohë që dëshironi.Thuaj lamtumirë lidhjes klasike të pikave në ekran ose veçorive të tjera të sigurisë që nuk mund të jenë gjithmonë plotësisht të sigurta nëse dikush gjen çelësin për të hapur pajisjen. Për këto raste, Apple ka pajisur tabletin e ri me fjalëkalimin më të përsosur që na është dhënë nga vetë natyra. Është një lexues i gjurmëve të gishtave ku mund të zhbllokoni pajisjen me një prekje të vetme ose të blini në mënyrë të sigurt në iTunes, iBooks dhe App Store.Prej senzorëve tableti është i pajisur me një gamë senzorësh: lexues të gishtërinjëve Touch ID, xhiroskop me tre akse, përshpejtues, busullë digjitale dhe senzor të dritës së ambientit. Prej teknologjive wireless ka Bluetooth 4.2 dhe WiFi ac.Sistemi operativ iPadOS është ndërtuar mbi bazat e iOS, por gjithashtu përfshin veçori të dobishme dhe aplikacione të paracaktuara të dizajnuara për të përfituar nga aftësitë unike të iPad. Ekrani i madh i iPad përmirësohet nga një ekran shtëpie i sapo projektuar dhe mund të përdorni më mirë aplikacione të shumta në të njëjtën kohë në një plan urbanistik të akorduar.   ",359.5,298096
"Tablet Apple iPad Mini, 64GB, Wi-Fi, 2019, ari"," Përshkrimi i produktit  Përjetoni performancën e jashtëzakonshme në Apple iPad Mini. Ai është shoqëruesi ideal i udhëtimit që shpejt e nxirrni nga xhepi ose çanta sa herë që ju nevojitet. Tableti është me të vërtetë shumë i hollë, vetëm 6.1 mm, dhe pesha e tij do t'ju habitë, duke peshuar pak më shumë se 300 gram. Megjithatë, ai ka performancë mahnitëse dhe shumë karakteristika të shkëlqyera. Tableti është i pajisur me një kamerë të pasme me një sensor të përmirësuar 8MP dhe një lentë f / 2.4, e cila, së bashku me një procesor të fuqishëm, ju lejon të përdorni funksione të avancuara si fokus, panoramë, video FullHD, slow motion video 120fps, time-lapse video, ose modalitetin self-timer. Pjesa e përparme është e pajisur me një kamera FaceTime HD me një sensor 7MP për një performancë më të mirë në dritë të ulët. Ky tablet i ri Apple iPad Mini është i pajisur me një ekran multitouch 7.9 ""Retina me rezolucion 2,048 × 1,536 dots dhe një kënd të gjerë shikimi. Për sistemin, të dhënat dhe aplikacionet janë të gatshme 64 GB memorie të brendshme, të pajisur me një gamë të sensorëve duke përfshirë Touch ID, xhiroskop me tre akse, akscelerometër, busullë dixhitale, sensorin e dritës së ambientit dhe barometër. Ekziston teknologjia Bluetooth 5.0 dhe lidhja e internetit përmes lidhjes WiFi ac dhe MIMO. Një sistem i ri operativ iOS 12 është instaluar në pajisjen tuaj.    ",399.5,257407
"Tablet Samsung Galaxy TAB A7 (SM-T500), 10.4"", 3GB RAM, 32GB, WiFi, i artë"," Përshkrimi i produktit  Zhytuni në përmbajtjen tuaj të preferuar audiovizive me tabletin elegant Galaxy Tab A7, i cili përmban një dizajn të hollë dhe performancë të lartë. Do të bëhet shoqëruesi juaj i besueshëm për punën dhe aktivitetet e kohës së lirë.Dizajni i Galaxy Tab A7 bazohet në minimalizëm, simetri dhe mjeshtëri premium. Trupi i tabletit është vetëm 7 mm i hollë dhe metalik, kështu që ofron qëndrueshmëri dhe ergonomi më të madhe. Ju mund të zgjidhni nga disa trajtime origjinale me ngjyra.Sot, ai ofron një bollëk platformash dhe aplikacionesh transmetimi për të parë shfaqjet dhe filmat tuaj të preferuar. Për t’i shijuar vërtet ato, Galaxy Tab A7 është i pajisur me një ekran dinamik të gjerë 10.4 "" dhe tingull rrethues Dolby Atmos, i cili vjen nga katër altoparlantë AKG dhe ju gllabëron plotësisht.Pritja e pafund për fillimin e lojës ka mbaruar. Galaxy Tab A7 është i pajisur me një procesor të shpejtë tetë-bërthamor Qualcomm Snapdragon 662 (2 GHz) dhe 3 GB RAM, që siguron funksionim të shkathët dhe të butë të tabletëve. Bateria me një kapacitet prej 7040 mAh ju garanton orë të gjata loje të patrazuar. Sapo të filloni të afroheni me zero me baterinë, përfitoni nga opsioni i karikimit të shpejtë 15 W për një kthim të shpejtë në lojë.Ju mund të ruani të gjitha fotot, videot, lojërat dhe aplikacionet tuaja në memorien e brendshme me kapacitet prej 32 GB. Nëse kjo nuk ju mjafton, mund të rrisni memorien e tabletit deri në 1 TB me një kartë opsionale microSD.Samsung gjithashtu mendoi për sytë tuaj dhe pajisi Galaxy Tab A7 me një modalitet të errët që zvogëlon lodhjen e tyre. Pavarësisht nëse e ndizni atë në mbrëmje ose gjatë gjithë ditës, modaliteti i errët ka avantazhin e ruajtjes jo vetëm të shikimit, por edhe të baterisë.Sinkronizoni Galaxy Tab A7 me celularin tuaj të mençur Galaxy dhe mos humbisni mesazhet, thirrjet dhe njoftimet e tjera, edhe kur nuk keni një celular në dorë. Falë funksionit Auto Hotspot, celulari juaj i mençur mund të ndajë të dhënat e tij me tabletin edhe kur nuk ka rrjet Wi-Fi afër.Kombinimi i Galaxy Tab A7 dhe aplikacionit Google Duo ju jep mundësinë të jeni me të dashurit tuaj, edhe nëse situata aktuale nuk ju lejon ta bëni këtë fizikisht. Ndani momente të rëndësishme me familjen tuaj, miqtë dhe me këdo që ju intereson.Ju nuk duhet të shqetësoheni për të dhënat tuaja të ndjeshme dhe të dhënat personale në Galaxy Tab A7. Samsung Knox është një zgjidhje sigurie me shumë shtresa që mbron pajisjet si në nivelin harduerik ashtu edhe në atë softuerik. Malware dhe kërcënimet e tjera që fshihen në Internet nuk kanë asnjë shans.Me aplikacionin Samsung Kids, nuk do të shqetësoheni më për besimin e tabletëve në duart e fëmijëve. Sjell një numër të madh lojërash argëtuese, por edhe edukative që zhvillojnë njohuritë dhe aftësitë e fëmijës suaj. Për më tepër, ju keni një kyç prindëror që mund ta vendosni në aplikacionet që dëshironi. Ju gjithashtu mund të merrni një pasqyrë praktike të aktiviteteve dhe kohëzgjatjes së përdorimit të tabletit.   ",232.31,721223smg
"Tablet Apple iPad (2020), 10.2"", 128GB, Wi-Fi, i artë"," Përshkrimi i produktit  Mbi të gjitha, iPad i ri nga Apple ju sjell performancë më të lartë duke ruajtur një çmim të volitshëm. Në zemër të tij është tani çipi i fuqishëm A12 Bionic dhe të gjitha tiparet e njohura të gjeneratës së fundit mbeten - ekrani Retina 10.2 "", mbështet Smart Keyboard (tastierën e mençur) dhe përdor një sistem të optimizuar iPadOS. iPad i ri është një pajisje e shkëlqyeshme e përdorshme me karakteristika të mahnitshme të sistemit operativ të ri iPadOS.Procesori A12 Bionic ka fuqi të mjaftueshme për gjithçka. Ai ofron performancë të shkëlqyeshme për kryerjen e detyrave të shumta në të njejtën kohë në mënyrë intuitive, aplikacione të realitetit të shtuar dhe lojëra mbresëlënëse. Neural Engine për inteligjencën artificiale sjell përvoja mbresëlënëse të realitetit të shtuar, funksione fantastike inteligjente të kamerës dhe shumë më tepër sesa prisni. A12 Bionic, ky është një nivel i ri i performancës, inteligjencës artificiale dhe të mësuarit në pajisje.Për sistemin, të dhënat dhe aplikacionet është i pajisur me memorien e brendshme me kapacitet prej 128 GB.iPad i ri mbetet një ekran i shkëlqyeshëm Retina, i cili ofron një diagonale prej 10.2 "" në panelin IPS dhe një rezolucion prej 2160 × 1620 px me një dendësi prej 264 pikash për inç (ppi). Ai sjell një imazh shumë të mprehtë me kënde të shkëlqyera shikimi për redaktimin e videove 4K, përgatitjen e prezantimit, menaxhimin e biznesit, lojërat dhe argëtimin multimedial.Tableti është i pajisur me një kamerë të pasme me një senzor të përmirësuar 8 MP dhe lente f / 2.4, që së bashku me një procesor të fuqishëm ju lejon të përdorni veçori të tilla si panorama, video Full HD, video me lëvizje të ngadaltë 120 kps, video me kalimin e kohës ose modalitet kohëmatësi. Pjesa e përparme është e pajisur me një kamerë FaceTime HD me një senzor 1.2 MP dhe lente f / 2.4, me të cilin bisedat tuaja video ose fotot selfie do të duken absolutisht të pabesueshme. Ju gjithashtu mund të përdorni kamerat e përparme dhe të pasme të iPad për të skanuar dokumente ose, për shembull, për të dizenjuar brendësinë në realitetin e shtuar.Me tabletin, ju merrni gjithçka që doni në iPad në një dizajn tepër elegant dhe të lëvizshëm. IPad peshon vetëm 490/495 gram (varianti WiFi / LTE) dhe është 7.5 mm i hollë, kështu që mund ta merrni kudo me vete dhe të bindeni me qëndrueshmërinë e tij. Gëzoni një sistem operativ intuitiv, aplikacione të shkëlqyera, performancë të shkëlqyeshme ose thirrje FaceTime kudo, në çdo kohë që dëshironi.Thuaj lamtumirë lidhjes klasike të pikave në ekran ose veçorive të tjera të sigurisë që nuk mund të jenë gjithmonë plotësisht të sigurta nëse dikush gjen çelësin për të hapur pajisjen. Për këto raste, Apple ka pajisur tabletin e ri me fjalëkalimin më të përsosur që na është dhënë nga vetë natyra. Është një lexues i gjurmëve të gishtave ku mund të zhbllokoni pajisjen me një prekje të vetme ose të blini në mënyrë të sigurt në iTunes, iBooks dhe App Store.Prej senzorëve tableti është i pajisur me një gamë senzorësh: lexues të gishtërinjëve Touch ID, xhiroskop me tre akse, përshpejtues, busullë digjitale dhe senzor të dritës së ambientit. Prej teknologjive wireless ka Bluetooth 4.2 dhe WiFi ac.Sistemi operativ iPadOS është ndërtuar mbi bazat e iOS, por gjithashtu përfshin veçori të dobishme dhe aplikacione të paracaktuara të dizajnuara për të përfituar nga aftësitë unike të iPad. Ekrani i madh i iPad përmirësohet nga një ekran shtëpie i sapo projektuar dhe mund të përdorni më mirë aplikacione të shumta në të njëjtën kohë në një plan urbanistik të akorduar.   ",448.85,298099
"Tablet SamsungGalaxy Tab A 2019 (T290), 2GB/32GB - i zi"," Përshkrimi i produktit  Samsung Galaxy Tab A 8.0 Wi-Fi 2019 (T290N) ofron një procesor 4-bërthamësh me një frekuencë prej 2 GHz. Tableti gjithashtu ka në dispozicion 2 GB memorje, si dhe ekranin me prekje 8 ""që ofron një rezolucion prej 1280 x 800 piksele. Për aplikacione dhe të dhëna tableti ju oforn një kartë memorie të brendshme microSD të zgjeruar 32 GB të memorjes së brendshme. Ekziston edhe WiFi wireless dhe Bluetooth dhe marrësi GPS / Glonass. Përveç kësaj, kemi gjithashtu një xhek 3.5 mm për kufje, microUSB dhe dy kamera (8 MP para dhe 2 MP para). Fuqia e përdorur e baterive me kapacitet të lartë është 5100 mAh, kurse sistemi operativ Android.   ",119,916318smg
