Title,Description,Price,PCode
"Fotoaparat digjital Canon EOS 750D "," Përshkrimi i produktit  Fotoaparati digjital CANON EOS 750D ofron imazhe të kualitetit të lartë. Ka një rezolucion prej 24.2 MP ndërsa i përket xhirimit, mund të xhirojë deri në kualitetin FULL HD 1920 x 1080. Videot mund t'i ruani në formation HD MP4, i cili është ideal për shpërndarje online. Procesori i fuqishëm i imazhit dhe senzori CMOS ofrojnë foto të detajuara dhe me ngjyra natyrale. Përmes teknologjisë Cannon Connect Station, ju mund t'i shpërndani fotot tuaja në website, rrjete sociale etj.   ",786.72,167766
"Kamerë Canon EOS RP + lente RF 24-240mm f/4-6.3 IS USM "," Përshkrimi i produktit  Kjo kamerë ka sensor SMOS 26.2 MP dhe procesues imazhi Digic 8. Ekrani ka madhësi 3 inç. Mbështet rezolucionin 4K, formatin JPEG dhe RAW dhe kartelat për ruajtje SD/SDHC/SDXC/UHS-IIs. Ndjeshmëria arrin 40 000 ISO dhe mund të bëni fotografi edhe në errësirë apo kushte jo të mira. Ndër të tjera ofron konektor HDMI dhe USB si dhe mbështet WiFi. Pako përmban edhe lente RF 24-240mm f / 4-6.3 IS USM. Është rezistente ndaj pluhurit dhe lagështisë.    ",2244,278462
"Kamerë INSTAX MINI 11, kaltër"," Përshkrimi i produktit  Instax Mini 11 është kamerë që ju mundëson të shkrepni fotografi dhe t'i printoni ato menjëherë në mënyrë që momentet më të rëndësishme të jetës tuaj t'i mbani në dorë me kualitet të lartë dhe të mprehtë. Kamera ka gjatësi fokale prej 60mm, mban bateri AA të cilat ju mundësojnë të shkrepni deri në 100 fotografi si dhe vjen me ngjyrë të kaltër.   ",86.81,788926INSTAX
Kamerë për veturë TrueCam A7S," Përshkrimi i produktit  Kamera A5S është kamerë e fuqishme dhe tejet profesionale, me rezolucion HD 2560 x 1080p 30 fps, e përshtatshme për veturë, që mund të përdoret në raste të aksidenteve rrugore. Kamera ka dhe ekran LCD me diagonale 2.7"". Kamera posedon një bateri e cila ka kapcitet prej 400 mAh dhe fuqi prej 12 dhe 24 V.    ",162.28,177443
Film Fujifilm Instax Mini Macaron - 10 copë," Përshkrimi i produktit  Fujiflm sjell në treg filimin me motive nga ëmbëlsira e famshme ""Macaroon"" me dizajnt tejet atraktiv. Ky film është i dizajnuar posaçërisht për kamerat Instax Mini dhe printerët Mini. Ngjyrat që shfaqen pasi që të printohet fotoja janë të ndezura si dhe filmi ka një shkëlqim mbi.    ",12.5,492310INSTAX
"Film per Instax mini 9, pink lemonade"," Përshkrimi i produktit    ",12.5,667976INSTAX
"Kamerë Sony ZV-1, e zezë"," Përshkrimi i produktit  Kamerë për krijimin e përmbajtjes profesionale të videos. Kjo kamerë ka senzor CMOS 1"" me rezolucion 20.1 MPx, procesor të përparuar të imazhit BIONZ X, lente Zeiss Vario-Sonnar T * me hapje f / 1.8-2.8, fokusim automatik hibrid me 315 pika fokusi për zbulimin e fazës. Ajo ofron video 4K në 25 kps. Karakteristikat e tjera përfshijnë: modaliteti super slowmotion, aftësinë për të rrotulluar videot në modalitetin e portretit, modalitetin e figurave për të rregulluar ngjyrën e videove dhe funksionin SteadyShot duke kombinuar stabilizimin optik dhe atë dixhital. Kamera ka ekran me prekje 3 "" LCD, të kthyeshëm. Mikrofon drejtues me 3 kapak ka funksion të zvogëlim të erës. Poashtu kamera ka ndryshues Bokeh, blic rrëshqitës, mbështetje për formatet RAW dhe JPEG, ISO 100 në 12800. Kamera mbështet kartat Micro SD. Ajo është e pajisur me Wi-Fi dhe Bluetooth. Përmasat e kamerës janë: 105.5 x 60 x 43.5 mm. Pesha 294 g.   ",869.28,288954
"Kamerë Fujifilm Instax Square SQ20, e zezë"," Përshkrimi i produktit  Kjo është një kamerë çasti me gjatësi fokale minimale 33.4 mm dhe gjatësi fokale maksimale 33.4 mm. Ndriçimi maksimal në fokusin minimal 2.4. Aperatura maksimale në fokusin maksimal 2.4. Distanca më e shkurtër e fokusimit 0.1 m. Formati i fajlleve është JPEG. Shpejtësia minimale e shkrepjes është 7,500 1 / xx s, kurse shpejtësia maksimale është 1 s. Kamera ka sensor të llojit CMOS dhe ndjeshmëri maksimale 1600 ISO. Kjo kamerë është e pajisur me një ekran me madhësi 2.7 "". Kapaciteti maksimal i kartës së memories është 32 GB. Lloji i baterisë është akumulator. Kamera ka qëndrueshmëri përafërsisht 100 shkrepje me një karikim të vetëm. Në paketë përfshihet rripi. Dimensionet e kamerës janë gjerësia 119 mm, lartësia 127 mm, trashësia 50 mm, pesha me aksesorë 440 g. Kamera vjen me ngjyrë të zezë.   ",207.09,298583
"Kamerë INSTAX MINI 11, hirtë e errët"," Përshkrimi i produktit  Instax Mini 11 është kamerë që ju mundëson të shkrepni fotografi dhe t'i printoni ato menjëherë në mënyrë që momentet më të rëndësishme të jetës tuaj t'i mbani në dorë me kualitet të lartë dhe të mprehtë. Kamera ka gjatësi fokale prej 60mm, mban bateri AA të cilat ju mundësojnë të shkrepni deri në 100 fotografi si dhe vjen me ngjyrë të hirtë.   ",86.81,563183INSTAX
Kamerë makine TrueCam M7 GPS Dual," Përshkrimi i produktit  TrueCam M7 GPS Dual kap të gjitha detajet e udhëtimit tuaj. Mbajtësja magnetike me një sistem klikimi shumë të thjeshtë siguron një bashkim të fortë dhe të sigurt të kamerës edhe kur drejtoni shpejt në terrene të pabarabarta. Është i pajisur me pjesë ngjitëse 3M dhe magnet të besueshëm. Kamera e makinës ka një regjistrim të mprehtë, të qetë që njeh targa apo edhe fytyra. Është ideale për mbrojtjen më të mirë gjatë drejtimit dhe në parking. Me ndihmën e dy kamerave, ajo ruan pjesën e përparme dhe të pasme të automjetit në të njëjtën kohë. Pjesa e përparme shkrepet në Full HD me 30 korniza dhe merr një kënd të gjerë prej 150 °. Pjesa e pasme është e rregullueshme, shkrepet në HD dhe mund të vendoset në xhamin e përparmë ose anasjelltas. Ju gjithashtu mund të bëni një fotografi nga brenda kabinës. Imazhi mund të përshtatet në kushte të dobëta të ndriçimit, për shembull kur dilni nga një tunel, dritë shumë të ndjeshme ose rrugës jashtë qytetit. Me modulin GPS do të keni një përmbledhje të azhurnuar të vendeve me matje të shpejtësisë. Baza e të dhënave përmban më shumë se 40,000 radarë nga 36 vende dhe informacione të tjera po azhurnohen vazhdimisht. Falë të dhënave të pozicionit GPS, ju mund të riprodhoni udhëtimin tuaj nga Google Maps në video dhe të shikoni shpejtësinë e tij në aplikacion.   ",148.33,287562
"Fotoaparat Polaroid SNAP TOUCH Instant Digital, i bardhë"," Përshkrimi i produktit  Polaroid PIC-300 Instant është një mini kamerë me dizajn modern, cilësi të shkëlqyer imazhi dhe që ofron fotografi të menjëhershme. Përveç dizajnit kompakt, cilësisë së imazhit dhe lehtësisë së përdorimit, kamera përmban inçizim video Full HD (1920 x 1080 p), rezolucion 13 Mpx, një ekran 3.5"" LCD, mbështetje për Bluetooth, dhe zmadhim optik deri në 10 herë, dhe editues fotosh. E gjithë kjo për të bërë fotografi të përsosura në të gjitha rrethanat. Të gjitha efektet që shtoni në fotot tuaja mund të verifikohen lehtë në ekran. Nëse jeni të kënaqur me foton që rezulton, ju mund t'a printoni, ta shprëndani me Bluetooth, ose t'a ruani në një kartë mikro SD me kapacitet deri në 128 GB. Teknologjia e printimit të fotografive është ZINK Zero Ink ndërsa formati i printimit është 2x3"". Përveç kësaj veçori, do të vlerësoni modalitetin PhotoBooth, duke ju dhënë deri në 6 foto ne 10 sekonda ose një kohëmatës automatik.   ",211.94,221323
"Fotoaparat momental Fujifilm Mini 9 Box 1, i verdhë"," Përshkrimi i produktit  Fotoaparati momental FujiFilm Instax Mini 9 përmban një lente Fujinon 60 mm (f / 12.7), zbulues optik të pamjeve reale, zmadhim 0.37x, ekspozim automatik me ndërrim manual dhe një blic të integruar. Kthejeni rrotulluesin e rregullimit të shkëlqimit në pozicionin e shënuar në llambë. Përfshin 10 letra fotografie Instax të dizajnuara për shkrepjen e fotove me një shtypje të një butoni dhe printimin e menjëhershëm të tyre. Me serinë Fujifilm Mini, ju mund të kënaqeni duke shikuar pamjet që zhvillohen praktikisht para syve tuaj. Një çantëz unike me një rrip të heqshëm për një rehati shtesë është krijuar për të mbajtur dhe mbrojtur fotoaparatin tuaj. Në modë dhe praktike. Jini të zgjuar, jini të sigurt. Poashtu kjo paketë përfshin 2 bateri dhe një album për ruajtjen e fotografive të printuara.   ",119.22,699047INSTAX
"Kamerë INSTAX MINI 11, bardhë"," Përshkrimi i produktit  Instax Mini 11 është kamerë që ju mundëson të shkrepni fotografi dhe t'i printoni ato menjëherë në mënyrë që momentet më të rëndësishme të jetës tuaj t'i mbani në dorë me kualitet të lartë dhe të mprehtë. Kamera ka gjatësi fokale prej 60mm, mban bateri AA të cilat ju mundësojnë të shkrepni deri në 100 fotografi si dhe vjen me ngjyrë të bardhë.   ",86.81,309032INSTAX
"Fotoaparat Sony Cybershot DSC-W830i, i argjendtë"," Përshkrimi i produktit  Fotoaparati Sony Cybershot DSC-W830i është i lehtë për tu përdorur edhe nga fillestarët, mund ta merrni kudo dhe gjithmonë do ju ndihmoj të bëni fotografi të kualitetit shumë të lartë me përplot detaje. Më të, mundeni shumë lehtë t'i arrini rezultatet e dëshiruara pasi qe fotoaparati rregullon gjithçka në mënyrë automatike. Fotoaparati gjithashtu ofron një mori efektesh kreative që mund t'i përdorni për fotografitë apo videot e juaja. Rezolucioni i tij është 20.1 MP, ka sensor special Super HAD CCD 1 / 2.3 (7.76mm) ndërsa lentat kanë gjatësi fokale 4.6 - 23 mm. Fotografitë dhe videot ruhen në MS Duo, MS PRO, MS PRO HG Duo, MS XC-HG Duo, SD, SDHC dhe SDXC. Dimensionet e fotoaparatit janë 93.1 x 52.5 x 22.5 mm dhe peshon 120 g së bashku me shtesat tjera.    ",145.44,145553
"Kamerë Kodak Friend zoom FZ53, e kuqe / e zezë"," Përshkrimi i produktit  Kamera me zmadhim optik 5x, zmadhim digjital 6x, zmadhim 30x të kombinuar me cilësi të lartë me senzor 16.15 MPx 1 / 2.3 "" CCD, video regjistrimi në 720p ose me stabilizim optik të imazhit dhe një ekran LCD 2.7 "" me rezolucion të lartë. Shfaq imazhe panoramike deri në 180 ° dhe ofron karakteristika si zbulimi i fytyrës, buzëqeshja, ndriçimi, reduktimi i syve të kuq, dhe është përputhje me standardin ISO 80-1600. Ka memorie të brendshme përafërsisht 8 MB. Mbështet kartat e memories SD, SDHC deri në 32 GB dhe eye-fi, pictBridge dhe exifPrint. Ka bateri Li-Ion LB-012 me kapacitet 700 mAh që mund të rimbushet, dhe ka jetëgjatësi për deri në 200 shkrepje. Dimensionet e fotoaparatit janë: 91.5 x 56.5 x 22.6 mm ndërsa peshon 106 g.    ",116.09,225402
Kamerë për makinë Navitel R400 NV," Përshkrimi i produktit  Kjo kamerë për makinë ka ekran me përmasa 2.7 inç dhe ofron rezolucion Full HD 1920 x 1080 pikselë. Kapaciteti i kartave të memories arrin deri në 64GB. Ka përmasa 85 x 49 x 30mm dhe peshon 55 g. Ka ndërfaqe mini-USB, senzor G, senzor për lëvizje. Video-kompresimi bëhet në format H.264, MOV.   ",62.33,275501
Kamerë digjitale Canon EOS 850D (trupi)," Përshkrimi i produktit  Kamerë digjitale SLR Canon me senzor 24.1 MPx CMOS, procesor imazhi DIGIC 8, stabilizim të imazhit me 5 boshte, AF me sipërfaqe të gjerë 45-bit, Wi-Fi, Bluetooth dhe video 4K me 30 korniza për sekondë. Kamera ofron zbulues optik të pamjeve dhe fokusim automatik me Dual Pixel CMOS AF. Ekrani i saj TFT me prekje dhe madhësi 3"" Clear View II ka kënd të ndryshueshëm. Këndi i shikimit është përafërsisht 170 °. Rregullimi i shkëlqimit mund të bëhet në 7 nivele. Kamera ka blic të integruar, mbështetje për formatin RAW, 14 funksione të përdoruesit, histogram, GPS. Mbështet kartat SD, SDHC dhe SDXC. Bateria Li-ion e rikarikueshme LP-E17 ka jetëgjatësi për përafërsisht 290 shkrepje. Dimensionet e kamerës janë: 131 x 102.6 x 76.2 mm. Pesha është përafërsisht 515 g.    ",959.52,281237
Kamerë makine Blaupunkt DVR BP 3.0 FHD GPS," Përshkrimi i produktit  Kamera Blaupunkt DVR BP 3.0 FHD mund të sigurojë një dëshmi të padiskutueshme të pafajësisë suaj, nëse është e nevojshme, dhe në të njëjtën kohë të rrisë ndjeshëm sigurinë e makinës. Falë rezolucionit të FHD, sigurisht që nuk do të ndodhë që nuk mund të lexoni targën e një automjeti që ju ka dëmtuar ose rrezikuar në një farë mënyre. Kamera, padyshim është shoqëruesi juaj i shkëlqyeshëm si në udhëtime të gjata ashtu edhe në udhëtime të shkurtra.Ka një pamje të gjerë 140 °. Ajo ofron një ekran me ngjyra 2,7 "", mbështetje të sensorit G dhe kartës microSD. Ka një mikrofon të integruar dhe altoparlant, si dhe ka këto dimensione: 81.4 x 64.7 x 41.0 mm.   ",127.87,293298
"Fotoaparat momental Fujifilm Instax Square SQ1, portokalli + film 1x10"," Përshkrimi i produktit  Fotoaparat kompakt për prodhimin e menjëhershëm të fotografive. Fotoja që rezulton ka një format katror me përmasa prej 86 x 72 mm. Figura është atëherë 62 x 62 mm në madhësi. Ndizet duke e rrotulluar lenten (65.75 mm, f / 12.6). Janë dy modalitete - ""i zakonshëm"" që fokuson nga 50 cm, dhe gjithashtu një selfie që fokuson nga 30 në 50 cm. Sigurisht që ka edhe një pasqyrë selfie. Ka një funksion automatik të rregullimit të skenës. Fotoaparati funksionon falë 2x baterive CR2 me kapacitet për 300 shkrepje. Ai fiket automatikisht pas 5 minutash kur nuk e përdorni. Përmasat e fotoaparatit janë: 130.7 x 118.6 x 57.5 mm. Pesha: 390 g (pa bateri dhe film). Përfshihet gjithashtu një film me 10 letra fotografie.   ",157.92,300739
