Title,Description,Price,PCode
"Monitor Samsung LS24R39MHAUXEN, 24"", i zi"," Përshkrimi i produktit  Ky është një monitor 24 "" me panel VA, rezolucion prej 1366 x 768 px, raport aspekti 16: 9, raport kontrasti 3000: 1, shkëlqim 250 cd/m2, normë rifreskimi 60 Hz dhe kohë të përgjigjes 8 ms. Prej porteve ofron HDMI. Është i pajisur me altoparlantë dhe slot për dry sigurie. Përmasat e tij së bashku me mbajtëse janë: 561.8 x 384.2 x 163.8 mm. Pesha: 4.0 kg (me mbajtëse).   ",139.19,916811smg
"Monitor Samsung LU28E85KRS/EN - 28"", i zi/argjendtë titanium"," Përshkrimi i produktit  Përshkrimi është duke u përpunuar, ndërkohë mund të shikoni specifikat teknike, apo kontaktoni në chat, email dhe messenger për detaje të mëtutjeshme.Ju faleminderit për mirëkuptim.   ",425.12,132552smg
"Monitor Samsung LC27RG50FQUXEN, 27"", 240Hz, i zi/argjendtë"," Përshkrimi i produktit  Monitori i lojrave Samsung 27RG50 me një ekran të lakuar do të shërbejë po aq mirë për lojrat, por edhe punë të rehatshme dhe argëtim multimedia. Është një monitor i lakuar me një panel VA dhe kohë përgjigjeje 4ms, duke ju lejuar të shijoni performancën e jashtëzakonshme të lojrave pa turbulluar përmbajtjen në ekran. Ka frekuencë deri në 240 Hz. Madhësia e tij është 27'' dhe ofron rezolucion 1920 x 1080 px, shkëlqim 300 cd / m2, raport të aspektit 16: 9, raport të kontrastit 3000: 1, dhe lakim 1500 R, Për më shumë, ky monitor posedon konektorët: HDMI, dhe DisplayPort.   ",308.12,990829smg
"Monitor ASUS STRIX XG32VQR ROG - 32 ""LED"," Përshkrimi i produktit  Monitor i lakuar 32 "" Quad HD me rezolucion 2560 × 1440, kohën e përgjigjes 4ms dhe shpejtësinë e rifreskimit 144 Hz. Monitori është i pajisur me një sërë teknologjishë për lojëra të shkëlqyera dhe lojëra kompjuterike. Për këtë qëllim, monitori është i pajisur me Free-Sync2, Shadow boost, GamePlus, Flicker Free, ndriçim 300 cd / m2, kontrast 1000: 1. Ndërfaqja e monitorit: Display Port (versioni 1.2), 2 x HDMI (versioni 1.4) 2 x USB 3.0. Monitori mbështet standardin VESA.   ",620.64,279733
,,0,
,,0,
"Monitor LED Gaming AOC AG251FZ 25"""," Përshkrimi i produktit  Monitor për gaming me ekran të gjerë Full HD. Përfshin madhësi të ekranit prej 25” dhe rezolucion prej 1920 x 1080 pix. Koha e reagueshmërisë së ekranit është 1 ms ndërsa ndriçueshmëria e ofruar paraqet normë prej 400 cd / m2. Proporcion dinamik i kontrastit prej 50M:1. Për më shumë, monitori përfshin ndërfaqe: HDMI, DsiplayPort, D-Sub dhe DVI. Ofron mbështetje për standardin VESA 100 x 100 dhe ofron output të altoparlantëve prej 3 W.   ",395.67,208196
"Monitor Viewsonic VX2458-MHD - LED 24"", i zi"," Përshkrimi i produktit  Kompania Viewsonic ju sjell monitorin me performancë të lartë, i cili ka madhësi 24 “ dhe rezolucion 1920 x 1080 (Full HD). Funksionon në frekuencën 144 Hz, ka ndriçim 300 cd/ m2 dhe kontrast 1000: 1. Është pajisur edhe me altoparlant me zë kumbues e të pastër, i cili ka fuqi 4 W. Ai ofron port për HDMI, DisplayPort, ka ndriçim të pasëm LED dhe vjen me ngjyrë të zezë.   ",198.81,263113
Monitor Acer ED322Qwmidx - LED 32''," Përshkrimi i produktit  Monitori Acer vjen me dizajn elegant dhe është ideal për lojëra dhe për të shikuar filma të ndryshëm. Ky monitor vjen me diagonale të ekranit 32"" Full HD dhe me rezolucion 1920 x 1080 piksela i cili operon në frekuencat 60 Hz dhe me kohë reagimi prej 4 ms. Me këtë rezolucion dhe me këto karakteristika ky monitor ju ofron imazhe superiore, me ngjyra të ndezura dhe tejet reale, me altoparlantë të integruar që ju mundësojnë të përjetoni çdo lëvizje dhe goditje si të jeni aty. Monitori vjen i pajisur me DVI , HDMI, VGA. Ky monitor ka raport aspekti 16: 9, 16.7 milionë ngjyra, ndriçim 250 cd / m2, dhe kënd shikimi 178 °.    ",335.13,222127
"Monitor HP 24w - LED, 23.8"""," Përshkrimi i produktit   Monitori 24w HP me një ekran IPS 23.8"" jep pamje rrënqethëse HD me rezolucion të fotogarfisë 1920 x 1080 dhe proporcion 19:9. Me 250 cd / m2 ndriqim, jep nje proporcion të mrekullueshëm kontrasti 5,000,000: 1. Vepron me një shpejtësi të lartë me kohë të përgjigjes 5 ms. Është i qëndrueshëm ndaj lëvizjeve, i mbështjellur me anti-reflektor, dhe ka kapacitet pjerrtësimi -5 - 23°. Ndihuni rehat duke pëdorur një monitor pa arsenal apo merkur. Ka ndriqim te passhëm LED për slotet D-Sub si dhe HDMI dimensionet 54.06 x 18.43 x 40.03 cm si dhe peshon 3.58 kg.   ",135.83,219325
