Title,Description,Price,PCode
"Kompjuter Apple Mac mini i3, 3.6GHz, 8GB, 256GB SSD, Intel HD/OS X (2020)"," Përshkrimi i produktit  Kompjuteri vjen i pajisur me procesorin Intel Core i3 i cili kombinohet me 8GB RAM memorie të llojit DDR4 si dhe kartelën grafike Intel UHD Graphics 630 për t'ju mundësuar që të shihni imazhe të pastërta dhe të detajizuara si dhe të hapni të gjitha aplikacionet dhe programet që ju nevojiten. Përpos kësaj, kompjuteri mban 256GB SSD për ruajtjen e të dhënave, ka një mori portesh USB për lidhjen e pajisjeve periferike 4x Thunderbolt 3 / Type-C , 2x USB 3.0 / 3.1 Gen 1, HDMI 2.0, si dhe portet DisplayPort e portet e audios dhe funksionon me sistemin operativ Apple Mac OS.   ",779.5,283398
"Kompjuter MSI Pro 16T 10M-001XEU, 15.6"" HD, Intel Celeron, 4GB DDR4, 256GB SSD, Intel UHD Graphics, i zi"," Përshkrimi i produktit  Kompjuteri kompakt gjithçka-në-një MSI Pro 16T 10M ju ofron një gamë të gjerë përdorimesh në ambiente tregtare, dyqane, zyra dhe shtëpi. Siguron fuqi të mjaftueshme dhe një ekran me prekje. Baza e këtij modeli të kompjuterit MSI Pro 16T 10M është një procesor 2-bërthamor Intel Celeron 5205U, i cili funksionon me një frekuencë prej 1.9 GHz dhe ka 4 GB memorie DDR4 (1 modul / 2 slote) për punën e tij. Trupi i të gjithë sistemit përbëhet nga një ekran me prekje 15.6 "" me rezolucion HD prej 1366 x 768 px. Kartela grafike Intel UHD Graphics kujdeset për përpunimin e imazhit. Një hard disk 256 GB SSD M.2 PCIe përdoret për të ruajtur të dhënat dhe aplikacionet. Wireless WiFi përdoret për lidhjen e rrjetit, si dhe 2x porte Gigabit Ethernet. Pajisjet e ndryshme përfshijnë një lexues të kartave të memories, Bluetooth 5.0, VGA, shumë porte USB (2x 2.0 dhe 4x 3.0 / 3.1 / 3.2. Gen 1), 2x porte COM, porta paralele, kamera HD, lidhësit audio dhe altoparlantët stereo. Kompjuteri vjen pa një sistem operativ.   ",414.67,293078
"Kompjuter Apple iMac (2020), 21.5"" 4K UHD, Intel Core i5, 8GB RAM DDR4 256GB SSD, AMD Radeon Pro 560X, i argjendtë "," Përshkrimi i produktit  iMac vazhdon të evoluojë, dhe tani ju mund të bëni me të më shumë punë dhe argëtim se kurrë më parë. Ai ju ofron performancë të shkëlqyer në një dizajn klasik elegant me teknologji të lehtë për t’u përdorur. Kjo është saktësisht çfarë prisni nga një iMac i ri. Ekrani i kompjuterit gjithçka-në-një Apple iMac 21.5 4K Retina (2020) ka një diagonale prej 21.5 "" dhe rezolucion 4K prej 4096 × 2304 px. Fuqia informatike sigurohet nga një procesor 6-bërthamor Intel Core i5, që punon me një frekuencë prej 3 GHz, ose deri në 4.1 GHz në modalitetin TurboBoost, i plotësuar me 8 GB memorie operative DDR4. Imazhi është prodhuar nga kartela grafike AMD Radeon Pro 560x me 4GB memorie GDDR5. Një hard disk 256 GB SSD është i gatshëm për sistemin, të dhënat dhe aplikacionet. Kompjuteri përfshin një kamerë të integruar FaceTime HD 720p mbi ekran, ndërfaqe wireless WiFi ac dhe portë Gigabit Ethernet për komunikim. Ju do të vlerësoni gjithashtu teknologjinë Bluetooth 4.2, 2x Thunderbolt 3, 4x USB 3.0 / 3.1 / 3.2 Gen 1, slotin për kartat e memories dhe daljen 3.5 mm për kufje. Sistemi operativ është MacOS Catalina. Tastiera Apple Magic dhe mausi Apple Magic Mouse 2 përfshihen gjithashtu në paketë.   ",1569.12,294715
"Kompjuter Intel NUC 7i7BNHX1, Intel Core i7, 16GB Intel Optane Cache, Intel Iris Plus Graphics, i hirtë"," Përshkrimi i produktit  Intel prezanton gjeneratën e ardhshme të grupeve kompjuterike të Compaq NUC Series. Me të, ajo përpiqet të dëshmojë se edhe më kompakte ofrojnë energji të mjaftueshme për përdorim multimedial dhe aplikacione të zakonshme për zyra. Kompjuteri është i pajisur me një procesor të fuqishëm Intel 7, që e bën të përshtatshëm jo vetëm për shtëpitë, por edhe për zyrat dhe shkollat. Ky mini kompjuter sidomos do t'i kënaqë ata që nuk kanë hapësirë ??të mjaftueshme rreth tyre për një kompjuter desktop klasik. Shijoni performancën e përsosur në pakon mini. Mini-kompjuter Intel NUC 7i7BNHX1 është i bazuar në procesorin Intel Core i7-7567U, i cili ka teknologji HyperThreading për një shumëfishim të duhur me aftësinë për të trajtuar deri në dy procese njëkohësisht në një bazë dhe vepron në një frekuencë prej 3.5 GHz ose deri në 4 GHz në TurboBoost. Kompjuteri nuk është i pajisur me memorie (2 DDR4 1.2V SO-DIMM deri në 32GB 2133 MHz të disponueshëm), por tashmë është i pajisur me një shpejtësi Intel Intel Optane prej 16GB. Ju gjithashtu mund të zgjidhni hard drive tuaj për të cilën një 2.5 ""slot është gati. Kompjuteri është i pajisur me një kartë grafike të integruar Intel Iris Plus Graphics. PC gjithashtu përfshin 4x USB 3.0 / 3.1 Gen 1, USB 3.1 Type-C Gen 2 / Thunderbolt 3 (me mbështetje DisplayPort), HDMI 2.0, Gigabit Ethernet, dalje audio, lexues i kartës së memories, Wi-Fi, Bluetooth.   ",484.02,228212
"Kompjuter ASROCK DeskMini A300, AMD Ryzen, i zi"," Përshkrimi i produktit  Kompjuteri Asrock vjen me dizajn elegant dhe ofron përformancë të lartë. Baza e këtij kompjuteri është procesori AMD Ryzen dhe me slots 2 SODIMM DDR4, si dhe vjen pa hard disk. Ky kompjuter vjen em energji maksimale 120 W dhe është i pajisur me portet USB 3.0 / 3.1 Gen 1, një 2.0 dhe 1x Type C 3.1 Gen1, HDMI, DisplayPort, VGA dhe lidhje audio.   ",159.12,260329
"Kompjuter HP Pavilion 24-k0002nc, 23.8 ""IPS, AMD Ryzen 5, 16GB DDR4, 1TB SSD, AMD Radeon Graphics, i bardhë"," Përshkrimi i produktit  Kompjuterët HP Pavilion 24 All-in-One janë kompjuterë të përballueshëm që ofrojnë vlerë të shkëlqyeshme për para për argëtimin në shtëpi ose përdorimin e zyrës. Me një dizajn të hollë, ju mund të përdorni kompjuterin tuaj kudo që ju nevojitet dhe do të jetë një aksesor i shkëlqyeshëm dekorativ për shtëpinë dhe zyrën tuaj. Baza e këtij modeli kompjuterik HP Pavilion 24 k është një procesor 6-core AMD Ryzen 5 4600H, i cili ka teknologji SMT për multitasking më të qetë me aftësinë për të përpunuar deri në 2 procese njëkohësisht në një bazë dhe funksionon në 3 GHz me mundësi me ngritje automatike deri në 4 GHz në modalitetin turbo. Procesori plotësohet me 16 GB memorie operative DDR4 (2 module / 2 slote). Trupi i të gjithë sistemit përbëhet nga një ekran 23.8 ""IPS Full HD me rezolucion prej 1920 x 1080 piksele (250 nits, 72% NTSC). Përpunimi i figurës është kujdesur nga karta grafike AMD Radeon Graphics. Hard disku 1 TB SSD M.2 PCIe NVMe shërben për të ruajtur të dhënat. Disku optik nuk është i përfshirë. Ndërfaqet e rrjetit përfshijnë WiFi ac, Bluetooth 5.0 dhe Gigabit Ethernet. Pajisjet e ndryshme përfshijnë mjaft porte USB (4x 3.0 / 3.1 / 3.2 Gen 1, 1x Type-C 3.1 / 3.2 Gen 1), port dalës dhe hyrës HDMI, kamera IR 5MP e palosshme, lexuesi i kartës së memories, lidhësi audio dhe karikimi i integruar wireless në mbështetëse. Kompjuteri juaj vjen me sistemin operativ Windows 10 Home. Paketa gjithashtu përfshin një tastierë dhe maus USB.   ",909.6,295184
"Kompjuter HP Slim S01-aD0011nc, Intel Pentium J5005, 8GB RAM, 1TB HDD, i zi"," Përshkrimi i produktit  HP Slim S01-aD0011nc është kompjuter kompakt dhe i lehtë i cili ju plotëson të gjitha kërkesat me performancën e tij të lartë dhe në të njëjtën kohë nuk ju zë shumë vend përbrenda tavolinës së punës në zyrë.Kompjuteri vjen i pajisur me procesorin 4-core Intel Pentium J5005 që funksionon me 1.5 GHz ose deri në 2.8 GHz në modalitetin TurboBoost, i cili kombinohet me 8GB RAM memorie të llojit DDR4 si dhe kartelën grafike Intel UHD Graphics për t'ju mundësuar që të shihni imazhe të pastërta dhe të detajizuara si dhe të hapni të gjitha aplikacionet dhe programet që ju nevojiten.Përpos kësaj, kompjuteri mban 1TB HDD për ruajtjen e të dhënave, ka një mori portesh USB për lidhjen e pajisjeve periferike (4x USB 3.0 / 3.1 / 3.2 Gen 1 dhe 2x USB 2.0 ) si dhe portet DisplayPort e portet e audios, funksionon me sistemin operativ Windows 10 Home. Përfshihet gjithashtu një tastierë dhe mausi USB.   ",366.22,268868
"CZC PC GAMING Master Pro,Intel Core i5, 16GB RAM, NVIDIA GeForce GTX, 2TB HDD, i zi"," Përshkrimi i produktit  Kompjuteri i kualitet të lartë CZC PC Gaming Pro sjell procesorin e fuqishëm Intel Core i5-7600K me 4 bërthama i cili në kombinim me 16GB RAM memorie të llojit DDR4 ""Ballistix Sport LT 2400 MHz"" si dhe kartelën grafike NVIDIA GeForce GTX 1060 me 6GB GDDR5 memorie iu mundëson të keni performancë jashtëzakonisht të shpejtë softuerike si dhe imazh kristal të pastër të lojërave tuaja të preferuara. Kompjuteri mban 2 hard diska ( 120GB SSD Kingston dhe 2TB HDD Seagate), një mori portesh USB ( USB 2.0, 3.0 / 3.1 Gen 1, USB 3.1 Type-A Gen2 (10Gbps) dhe USB 3.1 Type-C Gen1), portin Intel Gigabit Ethernet, portet 2x HDMI, 1x DVI, 2x DisplayPort, radiatorin SilentiumPC Fera 3 dhe ftohësin Cooler Master MasterBox Lite 5. Kompjuter mban sistemin operativ Windows 10 Home dhe ka ngjyrë të zezë.   ",1223.52,219839
"Kompjuter HP 260 G3 DM, Intel Core i3, 4GB DDR4, 128GB SSD, Intel HD Graphics, i zi"," Përshkrimi i produktit  Kompjuterët e serisë HP 260 G3 Mini janë desktopë kompaktë që plotësojnë nevojat tuaja të përditshme, ndërsa ofrojnë kapacitete të bollshme për rritje të mëtejshme. Mbyllja kompakte e Mini PC e dizajnuar në mënyrë profesionale, siguron një akses të lehtë në porte, slote dhe slote që janë pozicionuar në mënyrë që ato të jenë gjithnjë të lehta. Portet e përparme USB ofrojnë një gamë të gjerë të lehtësive të mediave dixhitale, dhe transferimet e shpejta të të dhënave dhe lidhësit audio sigurojnë lidhje të shpejtë për kufjet dhe mikrofonin. Seti përfshin porte USB 3.0 / 3.1 Gen 1, të cilat kanë një shkallë më të lartë transferimi sesa portet USB 2.0, e cila është veçanërisht e dobishme kur lidh ruajtje më të mëdha të të dhënave. Ky HP 260 G3 Mini është i pajisur me një procesor 2.7 GHz Intel Core i3-7130U dhe teknologji HyperThreading për multitasking më të qetë me aftësinë për të përpunuar deri në 2 procese për bazë. Memoria DDR4 ka një kapacitet 4 GB (1 modul / 2 slote). Sistemi, të dhënat dhe aplikacionet janë të dizajnuara për 128 GB M.2 SSD PCIe NVMe dhe në këtë rast asnjë disk optik nuk është i pranishëm. Prodhimi i grafikëve sigurohet nga lidhësit Intel HD Graphics me lidhësit HDMI dhe VGA. Të dy karta e zërit dhe kartela e rrjetit gigabit janë të integruara. Për lidhjen e pajisjeve të jashtme ose pajisjeve të tjera, ka mjaft porte USB (2x USB 2.0 dhe 4x USB 3.0 / 3.1 Gen 1), një port serik dhe një prizë e kombinuar e kufjeve / mikrofonit. Tastiera dhe mausi janë të përfshirë. Kompjuteri vjen me sistemin operativ Windows 10 Home.   ",371.92,249758
"Kompjuter Acer Aspire TC-895, Intel Core i5, 8GB RAM DDR4, 1TB HDD, NVIDIA GeForce GTX 1650, i zi "," Përshkrimi i produktit  Në këtë konfigurim, Acer Aspire TC (TC-895) përmban një procesor 6-bërthamor Intel Core i5-10400F që përmban teknologjinë HyperThreading dhe punon në frekuencë prej 2.9 GHz ose deri në 4.3 GHz në modalitetin TurboBoost. Ai plotësohet me 8 GB memorie DDR4 (1 modul / 2 slote). Një HDD me kapacitet prej 1 TB është përcaktuar për të ruajtur të dhënat dhe për aplikacionet. Ka edhe një njësi optike DVD ± RW. Sa i përket kartelës grafike, vjen me NVIDIA GeForce GTX 1650 me 4 GB memorie grafike. Pajisje të ndryshme periferike mund të lidhen duke përdorur mjaft porte USB 2.0, 3.0 / 3.1 / 3.2 Gen 1 dhe Tip-C 3.1 / 3.2 Gen 1. Lidhja e rrjetit sigurohet nga lidhja kabllore Gigabit Ethernet dhe lidhja wireless WiFi ac. Prania e një lidhjeje Bluetooth dhe një lexuesi të kartave të memories mund të jetë e dobishme. Kompjuteri vjen pa një sistem operativ. Paketa përfshin një tastierë dhe maus USB.   ",641.76,302057
