Title,Description,Price,PCode
"Laptop ASUS ZenBook Duo UX481FL, 14 "", Intel Core i7, 8GB RAM LPDDR3, 512GB SSD, NVIDIA GeForce MX250, i kaltër"," Përshkrimi i produktit  Shënim: Tastiera te pjesa numerike ka disa simbole çeke. Ndërsa, Microsoft Office është në verzion provues ose nuk është i instaluar fare. Ky laptop është i pajisur me karakteristika të shkëlqyeshme. Ai mundësohet nga një procesor 4-core Intel Core i7 - 10510U që funksionon me një frekuencë 1.8 GHz deri në 4.9GHz. Procesori plotësohet me 8GB RAM LPDDR3 (në pllakë). Hard disku 512GB SSD M.2 PCIe NVMe shërben për të dhënat. Disku optik mungon. Të dhënat e figurës për ekranin me prekje 14 "" IPS me rezolucion Full HD prej 1920 x 1080 piksel janë siguruar nga kartela grafike NVIDIA GeForce MX250. Laptopi ofron 1 x USB 3.1 / 3.2 Gen 2 Type-A, 1 x USB 3.0 / 3.1 / 3.2 Gen 1 Type-A, 1 x USB 3.1 / 3.2 Gen 2 Type-C, HDMI. Ekzistojnë gjithashtu ndërfaqet wireless Wi-Fi ac dhe Bluetooth 5.0. Lloji i kartës së rrjetit WLAN. Ndër karakteristikat e tjera laptopi ka një tastierë pa taste numerike, e cila ka ndriçim. Shasia e laptopit është bërë nga alumini dhe mundësohet nga një bateri 4-cell 70Wh. Laptopi vjen me sistemin operativ Windows 10 Home.    ",1215.84,294379
"Laptop HP 15-dw2005nc, 15.6"", Intel Core i7, 16GB RAM DDR4, 256GB SSD, 1TB HDD, NVIDIA GeForce MX330, i argjendtë"," Përshkrimi i produktit  Shënim: Tastiera te pjesa numerike ka disa simbole çeke. Ndërsa, Microsoft Office është në verzion provues ose nuk është i instaluar fare.Laptopi HP 15 i plotëson kërkesat për përdorim të përditshëm me një çmim të përballueshëm. Me ndihmën e një ekrani të madh, një tastierë të rehatshme që përfshin një pjesë numerike dhe një panel të prekjes preciz, ju merrni një mjet pune të sofistikuar që përshtatet në dorën tuaj. Është i përshtatshëm për përdorim shtëpiak dhe për zyrën tuaj. Me ndihmën e teknologjive dhe materialeve moderne, laptopi HP 15 mund të jetë edhe më i hollë se paraardhësit e tij. Kështu bëhet një zgjedhje ideale për jetën e përditshme. I përshtatshëm jo vetëm për përdorim në shtëpi dhe zyrë, por edhe për udhëtime. Zbuloni lehtësinë e një laptopi HP 15 të lehtë për t’u përdorur.Laptopi është i pajisur me një tastierë klasike me një pjesë numerike dhe një panel të prekjes me cilësi të lartë me mbështetje për gjeste me shumë prekje. Falë këtyre dy opsioneve të kontrollit, do të jetë e lehtë për ju të punoni me një laptop kudo në fushë.Altoparlantët stereo me cilësi të lartë ju tërheqin atë që po ndodh në ekran kur luani multimedia. Me një kamerë në internet dhe mikrofon të integruar, komunikimi juaj në internet me kolegët, familjen, klientët dhe miqtë do të jetë gjithmonë në cilësi të përsosur.Baza e këtij modeli të laptopit HP 15-DW2 është procesori 4-bërthamësh Intel Core i7-1065G7, i cili ka teknologji HyperThreading për shumëfishim më të qetë me aftësinë për të trajtuar deri në 2 procese njëkohësisht në një bërthamë dhe funksionon me një frekuencë prej 1.3 GHz, ose deri në 3.9 GHz në modalitetin TurboBoost. Procesori plotësohet më tej me 16 GB memorie operative DDR4 (1 modul / 2 slote).Pamjet në ekranin 15.6 "" me rezolucion Full HD prej 1920 x 1080 px, sigurohen në kombinim me një kartelë grafike NVIDIA GeForce MX330 me 2 GB memorie GDDR5. Hard disqet 256 GB SSD M.2 PCIe dhe 1 TB HDD janë të destinuar për të dhënat e përdoruesit. Ju lidheni me një rrjet kompjuterik përmes WiFi ax ose Gigabit Ethernet dhe Bluetooth 5.0 është gjithashtu i disponueshëm. Do të vlerësoni gjithashtu tre lidhës USB (2x 3.0 / 3.1 / 3.2 Gen 1, 1x Type-C 3.1 / 3.2 Gen 1 - vetëm të dhëna), lidhësin e kombinuar të kufjeve / mikrofonit, kamerën HD, lexuesin e kartës së memories, HDMI dhe tastierën me ndriçim. Shasia është bërë prej plastike të fortësuar. Laptopi mundësohet nga bateria me një kapacitet prej 41 Wh dhe vjen me sistemin operativ Windows 10 Home.   ",938.4,291940
"Laptop UMAX 13Wa Ultra, i hirtë"," Përshkrimi i produktit  Shënim: Tastiera te pjesa numerike ka disa simbole çeke. Ndërsa, Microsoft Office është në verzion provues ose nuk është i instaluar fare.Latopi UMAX vjen me dizajn unik dhe me përformancé dhe teknologjinë më të fundit.Baza e këtij laptopi është procesori Intel Pentium N4200 me frekuencë 1.1 Ghz deri në 2.5 me formën TurboBoost Ghz dhe plotësohet me 4 GB memorie DDR3 . Të dhënat tuaja ruhen në diskun M.2 SSD PCIe me kapacitet 64 GB dhe me microSd kartë me kapacitet 128 GB si dhe vjen me ekranin me madhësi 13.3 ""IPS kualitet Full HD me rezolucion 1920 x 1080 piksela të kombinuar me kartën grafike Intel HD Graphics për t'ju sjellur imazhe të bukura, të detajizuara dhe përformancë të lartë kompjuterike. Për lidhjen e pajisjeve periferike ekzistojnë portet 1 x USB Type-C, 1x USB 3.0 / 3.1 Gen 1, 1x USB 2.0. Gjithashtu, produkti është i pajisur me miniHDMI, altoparlantë stereo, 2 mikrofona dhe lidhës audio. Laptopi vjen me sistemin operativ Windows 10 HOME.   ",265.52,248486
"Laptop MSI Modern 14 A10M-823, 14"", 256GB SS, 8GB RAM, i7-10510U, i hirtë"," Përshkrimi i produktit  Microsoft Office është në verzion provues ose nuk është i instaluar fare.Ky laptop ndërthurr një varg veçorish të përsosura teknologjike. Laptopi ka procesor Intel Core i7-10510U, i kombinuar me memorie RAM 8GB. Ekrani 14"" shfaq imazhe me kualitet FHD me rezolucion 1920 x 1080 pikselë që mundësohet nga kartela grafike 14B3 (UMA), si dhe ka disk me kapacitet 256GB të llojit SSD. Po ashtu, përfshin WiFi, kamerë, dhe porte USB. Ky laptop vjen me sistem operativ Windows 10 Home.   ",950.11,281756msi
"Laptop Dell Latitude 15 (5500), 15.6 "", Core i5, 8 GB DDR4, 256 GB SSD, Intel UHD Graphics, i zi"," Përshkrimi i produktit  Shënim: Tastiera te pjesa numerike ka disa simbole çeke. Ndërsa, Microsoft Office është në verzion provues ose nuk është i instaluar fare. Ky model i laptopit Dell Latitude 15 (5500) është e pajisur me një procesor 4-core Intel Core i5-8265U, i cili përmban teknologji HyperThreading për multitasking me aftësinë për të përpunuar deri në 2 procese për bazë. Procesori funksionon me një frekuencë prej 1.6 GHz dhe mbështet mbingarkimin e TurboBoost në 3.9 GHz. Laptopi është gjithashtu i pajisur me 8 GB memorje DDR4 (1 modul / 2 slote) dhe të dhënat e përdoruesit janë të dizajnuara për 256 GB SSD M.2 PCIe. Ekrani 15.6 ""Full HD (1920 x 1080 piksel) është i vjetër Intel UHD Graphics. Laptopi ka Wi-Fi ac, Bluetooth 5.0 dhe Gigabit Ethernet. Përveç kësaj, laptopi është i pajisur me tre lidhës USB 3.0 / 3.1 / 3.2 Gen 1 (1 me PowerShare), USB Type-C 3.1 / 3.2 Gen 2 me mbështetje DisplayPort, lexues të kartelës së memories, kamerë, lidhës audio, slot i sigurisë Nobel, tastierë me ndriçim dhe dalje HDMI. Furnizimi me energji elektrike bëhet nga bateria 68 Wh. Windows 10 Pro është instaluar paraprakisht si sistem operativ.   ",859.68,267647
"Laptop ASUS TUF Gaming A15, 15.6 "", AMD Ryzen 7, 16GB DDR4 RAM, 512GB SSD, NVIDIA GeForce GTX 1660 Ti, i hirtë"," Përshkrimi i produktit  Shënim: Tastiera te pjesa numerike ka disa simbole çeke. Ndërsa, Microsoft Office është në verzion provues ose nuk është i instaluar fare. Laptopi ASUS TUF Gaming A15 (FA506IU) të bën përshtypje me dizajnin dhe qëndrueshmërinë e tij dhe është i pajisur me fuqinë për të zgjidhur çdo situatë loje. Ky model i laptopit ASUS TUF Gaming A15 (FA506IU) përdor një procesor 8-bërthamor AMD Ryzen 7 4800H, i cili operon me 2.9 GHz ose deri në 4.2 GHz në modalitetin turbo dhe ka teknologji SMT për multitasking më të qetë me aftësinë për të përpunuar deri në 2 proceson njëkohësisht në një bërthamë. Ai plotësohet më tej me 16 GB memorie operative DDR4 (2 module / 2 slote). Të dhënat e imazhit për një ekran 15.6 ""IPS-level Full HD (144Hz, 1920 x 1080 piksel, 250 nit, 45% NTSC) sigurohen nga një kartë grafike NVIDIA GeForce GTX 1660 Ti me 6 GB memorje GDDR6. Një hard disk 512 GB SSD M.2 PCIe NVMe është gati për sistemin, aplikacionet dhe të dhënat e përdoruesit. Për komunikim, laptopi është i pajisur me një numër ndërfaqesh, midis tyre do të gjeni wireless Wi-Fi ac ose Bluetooth 5.0 dhe Gigabit Ethernet me kabllo. Ekzistojnë gjithashtu 4 porte USB (1x Type-C 3.1 / 3.2 Gen 2, 2x 3.0 / 3.1 / 3.2 Gen 1, 1x 2.0), kamera HD, HDMI, lidhës audio i kombinuar dhe tastierë me ndriçim RGB. Laptopi mundësohet nga një bateri 90 Wh dhe vjen me sistemin operativ Windows 10 Home.   ",1199.5,294718
"Laptop Apple MacBook Pro 13 Touch Bar (2020), 13.3"", Intel Core i7, 16GB RAM LPDDR4X, 512GB SSD, Intel Iris Plus Graphics, i hirtë"," Përshkrimi i produktit  Shënim: Tastiera te pjesa numerike ka disa simbole çeke. Ndërsa, Microsoft Office është në verzion provues ose nuk është i instaluar fare.Laptopët inovativ Apple MacBook Pro 13 Touch Bar në versionin 2020 përsëri ofrojnë më shumë performancë dhe, falë tastierës së re, ata janë gjithashtu më ergonomik. Punoni më shpejt dhe më qetë me MacBook Pro tuaj të bukur kompakt dhe të lehtë për t’u përdorur.Baza e këtij modeli është një procesor 4-bërthamor Intel Core i7 i gjeneratës së 10-të. Ky procesor funksionon me një frekuencë prej 2.3 GHz me mbështetje për teknologjinë TurboBoost për të rritur frekuencën deri në 4.1 GHz dhe plotësohet me 16 GB memorie RAM të llojit LPDDR4X (në pllakë / pa slot). Ekrani Retina 13.3 "" ka rezolucion prej 2560 × 1600 px. Të dhënat grafike për ekranin sigurohen nga kartela grafike Intel Iris Plus Graphics. Një hard disk 512 GB PCIe SSD është i gatshëm për të dhënat e përdoruesit. Laptopi ka Wi-Fi ac, Bluetooth 5.0, 4 lidhës Thunderbolt 3 / USB Tip-C 3.1 / 3.2 dhe një lidhës stereo 3.5 mm për kufje. Tastiera me ndriçim The Magic Keyboard me Force Touch trackpad plotësohet nga një Touch Bar inovativ dhe një lexues i gjurmëve të gishtërinjve Touch ID. Një kamerë FaceTime HD 720p është gjithashtu e integruar. Laptopi përdor macOS si sistemin operativ.   ",2099.5,288340
"Laptop Apple MacBook Air 13 (2020), 13,3"", Intel Core i7, 16GB RAM, 512GB SSD, Intel Iris Plus Graphics, i hirtë"," Përshkrimi i produktit  Shënim: Tastiera te pjesa numerike ka disa simbole çeke. Ndërsa, Microsoft Office është në verzion provues ose nuk është i instaluar fare.Apple MacBook Air i inovuar tani është i pajisur me një ekran Retina me teknologji True Tone dhe vjen me një çmim më të këndshëm. MacBook Air i hollë, i lehtë dhe i fuqishëm është një laptop i përkryer, i lëvizshëm për gjithçka. Zbuloni botën e Apple me MacBook Air të ri.Baza e këtij versioni të veçantë të Apple MacBook Air 13 (2020) është një procesor 4-bërthamësh Intel Core i7 i gjeneratës së 10-të. Ky procesor funksionon në një frekuencë prej 1.2 GHz me mbështetje për teknologjinë TurboBoost për të rritur frekuencën deri në 3.8 GHz dhe plotësohet me 16 GB RAM LPDDR4X. Ekrani 13.3 ""Retina IPS me rezolucion prej 2560 × 1600 piksel në kombinim me një kartë grafike Intel Iris Plus Graphics. Një 512 GB PCIe SSD është gati për të dhënat e përdoruesit. Laptopi është i pajisur edhe me teknologji wireless Wi-Fi ac dhe Bluetooth 5.0, një palë ndërfaqe Thunderbolt 3 / USB-C, një lexues i gjurmëve të gishtërinjëve Touch ID, një aparat fotografik praktik FaceTime HD dhe lidhës audio 3.5 mm. Laptopi përdor macOS si sistemin operativ.   ",1599.5,288332
"Laptop Apple MacBook Air 13, M1, 8GB RAM, 512GB SSD, 8-bërthama GPU, e hirtë kozmike (Nëntor-2020)"," Përshkrimi i produktit  Shënim: Tastiera te pjesa numerike ka disa simbole çeke. Ndërsa, Microsoft Office është në verzion provues ose nuk është i instaluar fare.Apple MacBook Air 13 është dizajnuar që të përshtatet për të gjitha kërkesat tuaja specifike. Laptopi mban performancë të lartë, karakteristika shumë praktike dhe është më i lehtë dhe më i hollë sesa paraardhësit e tij. Punoni me efiçiencë dhe argëtohuni maksimalisht me këtë seri të laptopëve.Aksesori vjen i pajisur me procesorin 8 bërthamësh Apple M1 i cili kombinohet me 8GB RAM memorie, ekranin me madhësi 13.3"", kualitet WQXGA dhe rezolucion prej 2560 x 1600 piksela.Pos kësaj, laptopi mban 512GB SSD për ruajtjen e të dhënave, mban një mori portesh USB për lidhje me pajisje të tjera periferike, është pajisur me kamerë praktike HD, lexues të gishtërinjëve, audio jack si dhe funksionon me sistemin operativ Apple MacOS Big Sur.   ",1259.5,304122
"Laptop Acer Nitro 5 (AN515-54-581E), 15.6"" Full HD, Intel Core i5, 16GB RAM DDR4, 1TB SSD, NVIDIA GeForce RTX 2060, i zi "," Përshkrimi i produktit  Shënim: Tastiera te pjesa numerike ka disa simbole çeke. Ndërsa, Microsoft Office është në verzion provues ose nuk është i instaluar fare. Laptopët Acer Nitro 5 Series vijnë si një alternativë e përballueshme për lojrat mobile. Ata ju ofrojnë performanca të forta për lojë të qetë në rezolucionin Full HD duke ruajtur një çmim të përballueshëm. Ata do të mbështesin përvojën me zë të shkëlqyeshëm dhe dizajni i tyre nuk do ta mohojë përqendrimin, veçanërisht si laptopët e lojrave dhe multimedia. Luaj dhe argëtohu me laptopin Acer Nitro 5. Ky model i laptopit Acer Nitro 5 (AN515-54) përdor një procesor 4-bërthamor Intel Core i5-9300H, i cili ka teknologji HyperThreading për shumëfishim më të qetë me aftësinë për të përpunuar deri në 2 procese njëkohësisht në një bërthamë dhe funksionon me 2.4 GHz me mundësinë e rritjes së frekuencës deri në 4.1 GHz me teknologjinë TurboBoost. Procesori plotësohet më tej me 16 GB memorie operative DDR4 (1 modul / 2 slote). Pamjet në ekranin 15.6 "" 120 Hz IPS Full HD sigurohen në kombinim me një kartelë grafike NVIDIA GeForce RTX 2060 me 6 GB memorie GDDR6. Një hard disk 1 TB SSD M.2 PCIe NVMe është gati për të dhënat e përdoruesit (si dhe mundësia e instalimit të HDD). Ndërfaqet përfshijnë Wi-Fi ax, Gigabit Ethernet dhe Bluetooth 5.0, ose mjaft lidhës USB (2x 3.0 / 3.1 / 3.2 Gen 1, 1x 2.0 dhe 1x Tip-C 3.1 / 3.2 Gen 1). Pajisjet gjithashtu përfshijnë një kamerë HD dhe një tastierë me ndriçim. Shasia është bërë prej plastike. Laptopi mundësohet nga një bateri 4-qelizore 55 Wh dhe vjen me sistemin operativ Windows 10 Home.   ",1149.5,288604
