Title,Description,Price,PCode
Televizor LG 65NANO80 - 65” (164 cm)," Përshkrimi i produktit   Televizori LG 65NANO80 vjen me ekran 65” (164 cm) me kualitet 4K UHD dhe rezolucion 3840 x 2160 piksel. Ky televizor posedon altoparlantë të integruar me fuqi 20 W të cilët prodhojnë zë kumbues dhe tejet të qartë, si dhe marrës të llojit DVB-C, DVB-S2, DVB-T2 (HEVC). Të veçantat e këtij televizori janë mundësitë e incizimit të programeve dhe filmave tuaj të preferuara përmes memorieve USB, të shfletoni online, zmadhoni apo zvogëloni imazhet sipas dëshirës, hapni aplikacione të ndryshme dhe të përdoni Youtube. Poashtu, LG mundëson përdorimin e teknologjive si HDR10, HLG, LED, Smart, të cilat përmirësojnë dhe shfaqin imazhe sikurse të ishin reale. Si pjesë përbërëse, LG ka HDMI, RCA, audio optike, LAN, Cl.   ",899.5,287919
"Televizor Samsung Q65R, 55"" (140cm), 4K UHD, i argjendtë"," Përshkrimi i produktit  Përshkrimi është duke u përpunuar, ndërkohë mund të na kontaktoni në chat, email dhe rrjete sociale për detaje të mëtutjeshme. Ju faleminderit për mirëkuptim.   ",799.5,504276smg
Televizor LG 65UN7300 - 65” (164 cm)," Përshkrimi i produktit  Televizori LG 65UN7300 vjen me ekran 65” (164 cm) me kualitet 4K UHD dhe rezolucion 3840 x 2160 piksel. Ky televizor posedon altoparlantë të integruar me fuqi 20 W të cilët prodhojnë zë kumbues dhe tejet të qartë, si dhe marrës të llojit DVB-C, DVB-S2, DVB-T2 (HEVC). Të veçantat e këtij televizori janë mundësitë e incizimit të programeve dhe filmave tuaj të preferuara përmes memorieve USB, të shfletoni online, zmadhoni apo zvogëloni imazhet sipas dëshirës, hapni aplikacione të ndryshme dhe të përdoni Youtube. Poashtu, LG mundëson përdorimin e teknologjive si DVB-C, DVB-S2, DVB-T2 (HEVC), që përmirësojnë dhe shfaqin imazhe sikurse të ishin reale. Si pjesë përbërëse, LG ka HDMI, audio optike, RCA, LAN, Cl.   ",598.5,287931
"Televizor GoGEN TVH 24N384 STWEB, 24"" (61 cm), HD, i zi"," Përshkrimi i produktit  GoGEN TVH 24N384 është një televizor 24"" me rezolucion HD 1366 x 768, me diagonale prej 61 cm. Ka kënde të gjera shikimi prej 178 ° / 178 ° dhe frekuencë 50/200 Hz. Koha e përgjigjes së TV-së është 5 ms. Televizori ka opsionin për teknologjinë Wi-Fi që ju lejon ta lidhni atë me Internet. Po ashtu, televizori mbështetë standardin VESA 200 x 100 mm.   ",208.38,199368
"Televizor Strong SRT32HB3003, 32"" (80cm), HD Ready, i zi"," Përshkrimi i produktit  Televizor LED me diagonale prej 32 "" (80 cm) dhe rezolucion HD ready (1366 x 768 px). Frekuenca është 50/100 Hz. Këndet e shikimit janë 178/178. Marrësi është i llojit DVB-C / T / T2 / S / S2. Koha e përgjigjes është 6.5 ms Funksionet e përdoruesit janë: riprodhimi përmes USB, EPG, lista e preferuar e kanaleve, teletext, titrat, kyçja e programeve të caktuara nga prindërit, modaliteti hotel. Fuqia e zërimit është 2x 5 W. Televizori mbështet standardin VESA 100 x 100 mm. E përfshirë është edhe telekomanda. Klasa e energjisë është A +.   ",185.76,291321
"Televizor Samsung UE75TU7172UXXH, 75"" (189 cm), 4K UHD - i argjendtë"," Përshkrimi i produktit  Televizor 75 "" SMART, i cili ju ofron shfaqjet dhe filmat tuaj të preferuar në imazhin më të lartë si dhe cilësinë e zërit. Zhytni veten me ngjyra të jashtëzakonshme në ekranin Crystal të televizorit UHD TU7172 nga Samsung, ku do të zbuloni madje edhe detajet më të mira në çdo skenë. Çfarë fshihet pas cilësisë së mahnitshme dhe imazhit dinamik të TU7172? Është një çip inteligjent Crystal Processor 4K që kontrollon dhe optimizon cilësimet e ngjyrave, kontrastit dhe HDR nën skeptrin e tij. Kështu që ju do të shijoni çdo skenë në cilësinë më të lartë. Zbuloni detajet që janë fshehur nga ju deri tani. Teknologjia HDR zgjeron gamën e ngjyrave të TV, kështu që ju mund të shijoni skena më autentike të lehta dhe të errëta me të gjitha detajet e tyre të shkëlqyera. UHD TU7172 është i pajisur me një modalitet loje që optimizon imazhin dhe zvogëlon vonesën e qasjes së saj. Shijoni titujt tuaj të preferuar në një mënyrë të përkryer të qetë dhe mbretëroni në fushën e lojërave online. Një telekomandë është gjithçka që ju nevojitet për të kontrolluar UHD TU7172 dhe pajisjet e tjera të përputhshme - telekomanda Samsung One Remote. Qasjen e thjeshtë dhe kontrollin intuitiv të përmbajtjes tuaj të preferuar do t'ju ofrojë ndërfaqja Smart Hub, ku do të gjeni të gjitha aplikacionet, konzolat e lojërave dhe transmetimet televizive. Ky televizor ka diagonale prej 75 "" (189 cm) dhe rezolucion 4K UHD (3840 × 2160 px). Lloji i akorduesit që posedon është DVB-T / T2 / C / S / S2. Funksionet multimediale dhe interesante përfshijnë: procesorin Crystal Processor 4K, DLNA, Miracast, shfletues interneti, Wi-Fi, Bluetooth, HbbTV, rishikimin përmes USB, kontrollin përmes zërit (anglisht), O2 TV, Netflix, Skylink Live TV, HBO GO, Skylink Fastscan, multiroom link and steam link, SmartThings, modalitetin Ambient, iTuners dhe mbështetjen e Airplay, zërimin 20 W, tingullin përshtatës, dekoderin Dolby Digital Plus dhe audio Bluetooth. Klasa e energjisë së televizorit është A +.   ",1299.5,328651smg
"Televizor Samsung QE65Q65TAUXXH, 65"" (165cm), 4K UHD, e hirtë e errët (2020)"," Përshkrimi i produktit  Bashke me televizor, ju dhurojme nje soundbar falas.Promocioni zgjat nga data 10.02.2021 deri më 21.3.2021 ose deri sa të përfundojë stoku. Për t'u kualifikuar për dhuratën, duhet të regjistroni blerjen tuaj në adresën e [email&#160;protected], ndërsa në faqen www.samsung.com/al/offer/qled-soundbar-2021 mund të gjeni një listë të hollësishme të pajisjeve me më shumë informacione.Përshkrimi është duke u përpunuar, ndërkohë mund të na kontaktoni në chat, email dhe rrjete sociale për detaje të mëtutjeshme. Ju faleminderit për mirëkuptim.   ",1499.5,774083smg
"Televizor Samsung QE65Q70TATXXH (2020), 65"" (165cm), 4K UHD, i zi"," Përshkrimi i produktit  Bashke me televizor, ju dhurojme nje soundbar falas.Promocioni zgjat nga data 10.02.2021 deri më 21.3.2021 ose deri sa të përfundojë stoku. Për t'u kualifikuar për dhuratën, duhet të regjistroni blerjen tuaj në adresën e [email&#160;protected], ndërsa në faqen www.samsung.com/al/offer/qled-soundbar-2021 mund të gjeni një listë të hollësishme të pajisjeve me më shumë informacione. Ky është një televizor SMART me diagonale prej 65 "" (165 cm) dhe rezolucion 4K UHD prej 3840 x 2160 px. Indeksi i cilësisë së figurës së këtij televizori është 3400. Marrësi është i llojit DVB-T2/C/S2. Televizori është i pajisur me 4x porte HDMI, 2x porte USB, portë Ethernet (LAN), Wi-Fi 5, Bluetooth v4.2, hyrje RF, dalje audio digjitale (optike) dhe slot Cl. Sistemi operativ është Tizen. Klasa e energjisë është A +.Procesori i fuqishëm Quantum 4K i Samsung optimizon cilësinë e figurës për kushte të shkëlqyera shikimi, duke e përmirësuar të gjithë përmbajtjen tuaj.4K AI Upscaling përdor procesorin e fuqishëm Quantum, duke analizuar automatikisht burimin e hyrjes për të reduktuar mizat e imazhit, për të rikthyer detajet e humbura dhe për të definuar konturet rrotull objekteve dhe tekstit. Tani mund të keni figurë dhe tinguj në rezolucion 4K.Përshtateni në mënyrë aktive me ambientin e shikimit duke rregulluar automatikisht ndriçimin. Shikoni një figurë të përkryer, pavarësisht orës së ditës apo përmbajtjes që po shikoni.Teknologjia Dual LED e sfondit përshtat tonin e ngjyrave për t'iu përshtatur gjendjes emocionale të përmbajtjes suaj, në mënyrë që ta shikoni ashtu siç është bërë për t'u parë.Zhurmat e papritura nga shtëpia juaj mund të shqetësojnë ndërsa shikoni. AVA përforcon zërat në skenë në mënyrë që dialogu të transmetohet qartë. Shikoni televizor pa humbur bisedën.Quantum HDR nxjerr detajet dhe kontrastin, që ju të mund të përjetoni fuqinë e plotë të çdo imazhi. Duke shkuar përtej standardeve më të mira, Dynamic Tone Mapping i HDR10+ krijon të zezë më të thellë, imazhe më të gjalla dhe detaje që gjithmonë ndriçojnë përmes.Teknologjia Quantum Dot ofron figurën më të pastër që kemi pasur ndonjëherë. Me Color Volume 100%, Quantum Dot merr dritën dhe e kthen në ngjyra mahnitëse që qëndrojnë reale në çdo nivel ndriçimi.Real Game Enhancer+: Luani lojëra me pamje më të bukur pa bërë asnjë rregullim të figurës. Qartësia shtesë e lëvizjes redukton aureolën dhe turbullirën në skena me lëvizje të shpejtë. Arrini shikueshmëri të qartë edhe në skena të errëta dhe tingull që sinkronizohet më mirë sipas skenës së lojës. AMD FreeSync redukton ngecjen që të fitoni çdo herë.Një dizajn modern dhe elegant që ju tërheq për të parë figurën më të pastër. Krijuar me një stil minimalist nga çdo kënd dhe pa korniza që vendos standarde të reja. Do të shikoni vetëm përvojën tonë më të bukur kinematike që keni pasur ndonjëherë.Shikoni televizorin tuaj tek zhduket, duke u gërshetuar me muret e shtëpisë suaj. Nuk është thjesht një zbukurim, sepse edhe në Ambient Mode+, televizori juaj është gati të transmetojë informacione dhe përmbajtje të dobishme sa herë që ju nevojitet. Kjo përmbajtje pluskon mbi ekranin e tejdukshëm që gjithmonë të përshtatet me ambientin tuaj të banimit.Gjithçka që ju nevojitet është një telekomandë për të zbuluar lloje të ndryshme përmbajtjeje. Nga kontrolli i dekoderit tek konzola e lojërave, aplikacionet dhe madje edhe Live TV.Një listë e zgjedhur përmbajtjeje nga kanale transmetuese, e personalizuar për ju. Tani, është e lehtë që të merrni përmbajtjen tuaj të preferuar, pa qenë nevoja të hapni aplikacionin.Multi View e ndan në dysh ekranin e televizorit tuaj, duke vënë në njërën anë përmbajtjen që po shikoni dhe duke pasqyruar në anën tjetër ekranin e celularit tuaj. Kjo do të thotë se nuk është më nevoja të hiqni shikimin nga ekrani i televizorit për të parë celularin.QLED funksionon me SmartThings për t'ju vënë juve në kontroll të shtëpisë suaj të mençur. QLED lidhet me pajisjet dhe senzorët e IoT në mënyrë që të ndizni dritat, të kontrolloni se çfarë ka brenda frigoriferit dhe madje edhe të ndizni fshesën robotike nga komoditeti i divanit tuaj. Një botë krejtësisht e re ju pret.   ",1699.5,372674smg
"Televizor Samsung QE65Q75TATXXH, 65"", (165cm), QLED 4K Ultra HD, Smart, i argjendtë (2020)"," Përshkrimi i produktit  Ky është një televizor Smart me diagonale prej 65 ” (165 cm) dhe rezolucion 4K UHD prej 3840 x 2160 px, i cili krijon atmosferë të jashtëzakonshme në shtëpinë tuaj, me audio dhe video të përsosura, që ju lënë pa frymë.Dizajni i këtij televizori është mjaft elegant, duke ofron kornizë të hollë. Me vetëm një telekomandë One Remote ju mund të argëtoheni me pajisje, përmbajtje dhe platforma të ndryshme.Ky televizor është i pajisur me Wi-Fi, kështu që shumë lehtë mund t'i transferoni përmbajtjet e juaja të preferuara nga pajisje të tjera, për t'i shikuar ato në një ekran të madh. Televizori poashtu ofron: 4x porte HDMI, 2x porte USB, 1x dalje digjitale audio (optike), 1x portë Ethernet (LAN), slot Cl dhe ndërfaqe Bluetooth 4.2.Indeksi i cilësisë së figurës së këtij televizori është 3500. Sistemi operativ është Tizen. Klasa e energjisë është A +.    ",1399.5,401082smg
"Televizor Samsung UE55TU7022KXXH, 55"" (139cm), 4K UHD, i zi"," Përshkrimi i produktit  Ky është një televizor SMART me diagonale prej 55 "" (139 cm) dhe rezolucion 4K UHD prej 3840 x 2160 px. Indeksi i cilësisë së figurës së këtij televizori është 2000. Marrësi është i llojit DVB-T2/C. Televizori është i pajisur me 2x porte HDMI, portë USB, portë Ethernet (LAN), Wi-Fi 5, Bluetooth v4.2, hyrje RF, dalje audio digjitale (optike) dhe slot Cl. Sistemi operativ është Tizen. Klasa e energjisë është A.Zhytuni brenda në figurë me një gamë të gjerë ngjyrash. Crystal Display siguron shprehje të optimizuar ngjyrash në mënyrë që ta shikoni më qartë.Cilësi figure që ju lëviz, e mundësuar nga çipi i vetëm (Crystal Processor 4K) që orekestron ngjyrën, optimizon raportin e lartë të kontrastit, dhe përdor HDR.Një dizajn modern dhe elegant që ju tërheq për të parë figurën më të pastër. Krijuar me një stil minimalist nga çdo kënd dhe pa korniza që vendos standarde të reja. Do të shikoni vetëm përvojën tonë më të bukur kinematike që keni pasur ndonjëherë.Ambient Mode - Kur projektoni fotografitë tuaja të preferuara në ekranin e televizorit, televizori vetë gërshetohet me dekorin tuaj në mënyrë elegante. Mund të vendosni një numër të lartë fotosh në një kolazh të bukur ose vendosini ato në pamje rrëshqitëse që të mbani pamjen vizuale të freskët dhe të qartë.Qasja në distancë - Mbaroni punën e zyrës në televizorin në shtëpi. Remote Access ju lejon të pasqyroni ekranin e kompjuterit tuaj në ekranin e televizorit përmes valëve. Madje mund të trokisni në kompjuterin e zyrës për të pasur qasje tek skedarët ose të punoni në dokumente duke përdorur Microsoft Office 365, gjithçka nga komoditeti i divanit tuaj.High-Dynamic Range rrit nivelin e shprehjes së televizorit, në mënyrë që të mund të shikoni një spektër të pafund ngjyrash dhe detajesh vizuale, edhe në skena të errëta.Hyni në lojë më shpejt me Game Enhancer, që optimizon ekranin tuaj në mënyrë që të keni më shumë kontroll me vonesë hyrjeje që zor vihet re. Përjetoni lojë të lehtë në formën e vet më impresive pa turbullirë dhe ngecje të lëvizjes.Samsung UHD ofron një zgjidhje të rregullt për t'i mbajtur kabllot e televizorit të rregullta, duke i fshehur ato direkt te mbajtësja. Kjo ju ndihmon të reduktoni rrëmujën në mënyrë që të shijoni dizajnin e bukur të televizorit tuaj.Gjithçka që ju nevojitet është një telekomandë për të zbuluar lloje të ndryshme përmbajtjeje. Nga kontrolli i dekoderit tek konzola e lojërave, aplikacionet dhe madje edhe Live TV.Një listë e zgjedhur përmbajtjeje nga kanale transmetuese, e personalizuar për ju. Tani, është e lehtë që të merrni përmbajtjen tuaj të preferuar, pa qenë nevoja të hapni aplikacionin.Pasqyrimi i filmave ose muzikës nga celulari i mençur në televizor është aq i thjeshtë sa një trokitje e lehtë. Kur prekni televizorin me celularin tuaj të mençur, televizori ndjen automatikisht prekjen dhe pasqyron në mënyrë automatike. Kështu që është e shpejtë dhe e thjeshtë të kalosh në televizor dhe të vazhdosh të shijosh përmbajtjen tënde të preferuar.Samsung punon për herë të parë edhe me Apple. Me AirPlay 2 të integruar, mund të transmetoni apo të ndani përmbajtje nga pajisjet e Apple në ekranin e madh. Luani video, muzikë, fotografi dhe më shumë pa u lodhur nga iPhone, iPad dhe Mac juaj në këtë televizor.   ",449.5,845514smg
